Geneid,wt_1_light,wt_2_light,wt_3_light,wt_1_dark,wt_2_dark,wt_3_dark,dimA_1_dark,dimA_2_dark,dimA_3_dark,dimA_1_light,dimA_2_light,dimA_3_light
PA14_00010,9266,10952,10271,10083,9612,9064,10644,9917,9843,13597,11466,7257
PA14_00020,17310,19956,18098,17573,18251,17864,17441,17120,16979,23452,21355,14222
PA14_00030,10911,13211,10204,9446,7997,6774,8484,7842,10066,10801,10336,8063
PA14_00050,41504,49877,40775,47172,42892,42958,46426,42464,44673,50463,52357,36608
PA14_00060,1932,2006,1740,1887,1931,1701,1756,1652,1690,2430,2317,1482
PA14_00070,783,932,840,747,766,656,806,763,750,1067,1126,773
PA14_00080,2022,2313,2353,3913,4178,4340,5042,6580,4696,4073,4322,2848
PA14_00090,10586,11586,11998,13707,13215,12378,13340,11270,12161,17377,13553,9192
PA14_00100,5497,6083,5417,5951,5670,5424,5230,4700,5045,8021,6109,3847
PA14_00110,1225,1460,1357,1505,1405,1354,1469,1387,1225,1951,1772,1136
PA14_00120,6491,8093,6159,6242,5226,4996,5364,4876,6663,7001,8518,5846
PA14_00130,738,772,976,1155,1244,1265,1179,1419,1272,1132,1280,608
PA14_00140,429,475,493,407,413,402,407,368,426,482,474,335
PA14_00150,107,126,119,131,127,117,104,128,119,146,143,89
PA14_00160,1672,1869,1482,1571,1414,1119,1554,1420,1389,1634,1960,1443
PA14_00170,3152,3342,3358,3924,4075,3547,3764,3538,3504,4924,3775,2432
PA14_00180,2593,2489,2766,3251,3178,2941,3235,2585,3029,4312,3104,2116
PA14_00190,2396,2521,2658,3013,3014,2522,3224,2355,2659,3836,2800,1961
PA14_00200,2551,3145,2618,3635,3264,2643,3682,2914,3124,2899,2998,2143
PA14_00210,7129,8292,6938,7008,6721,6506,6694,5363,6470,8301,7608,5586
PA14_00230,46,57,88,170,151,125,223,174,175,130,171,95
PA14_00240,2422,2735,2338,2588,2370,2323,2225,2253,2193,2891,2632,1772
PA14_00250,3543,3987,3919,4012,4226,4079,3710,3917,3394,5022,4514,2779
PA14_00280,2808,3738,4105,6831,6390,5064,6728,3631,6498,6069,5090,3453
PA14_00290,1322,1453,1911,3180,2688,2156,3712,2135,3275,2762,2365,1536
PA14_00300,10341,11440,13961,16869,19175,21353,17677,20585,14448,19314,18963,9455
PA14_00310,6821,7755,8587,9365,9706,10389,11569,12805,9176,11564,11790,6272
PA14_00320,1957,2231,2470,2664,2571,2855,2958,3441,2652,3202,3461,2041
PA14_00340,170,174,122,264,183,143,199,185,206,208,200,129
PA14_00360,202,202,189,259,285,223,179,187,147,245,198,132
PA14_00380,382,448,303,645,665,452,398,347,303,568,428,340
PA14_00400,775,992,797,1011,879,817,809,640,809,999,999,713
PA14_00410,1222,1408,1019,1392,1251,1187,1507,1267,1361,1390,1497,964
PA14_00420,102,79,114,109,70,116,87,83,94,112,122,78
PA14_00430,202,285,182,178,192,151,121,120,125,181,219,159
PA14_00440,1507,1478,1563,1911,1631,1544,1421,1608,1443,2078,2097,1167
PA14_00450,1890,2211,2213,2193,2375,2160,1845,1786,1626,2782,2397,1509
PA14_00460,431,525,474,469,458,360,419,323,519,760,536,347
PA14_00470,14566,17716,12188,6631,4640,4917,5683,4838,4776,5225,9590,5390
PA14_00480,34997,44099,28130,13482,10355,11475,12199,11971,11397,13301,23193,14162
PA14_00490,1409,1606,1201,1702,1348,1030,1579,1148,1409,1755,1709,1458
PA14_00510,1963,2511,1756,2845,2574,1913,3009,2002,2311,3003,2479,2050
PA14_00520,77,131,79,146,150,96,174,156,173,142,218,105
PA14_00530,780,953,600,607,525,504,553,459,620,706,883,695
PA14_00550,1646,1622,1645,2077,2099,1877,2008,2036,1840,2528,2387,1515
PA14_00560,940,1039,933,897,749,731,940,770,846,931,904,639
PA14_00570,2065,2118,1415,2250,2478,1692,2034,1405,1869,3076,1942,1829
PA14_00580,1243,1459,805,1364,1331,995,1256,788,1297,1763,1237,1367
PA14_00590,722,609,613,1179,1137,686,998,774,774,1353,707,635
PA14_00600,390,480,325,366,443,484,469,638,435,628,478,395
