,bphP_light_mean_rpm,wt_dark_mean_rpm,log2_FC,-log10_pval,protein_ID,common_name,product
gene-PA14_00010,335.68774843710685,287.4855388696172,0.2236304960998572,1.9020136966895091,cds-ABJ14957.1,dnaA,chromosomal replication initiator protein DnaA
gene-PA14_00020,557.3336129850122,538.438095711561,0.04976067789823581,0.2806665876273823,cds-ABJ14958.1,dnaN,DNA polymerase III%2C beta chain
gene-PA14_00030,317.32105063350315,246.5709749326427,0.36394024638991124,0.8766134622451165,cds-ABJ14959.1,recF,DNA replication and repair protein RecF
gene-PA14_00050,1340.682561856618,1329.065263226006,0.012555736343355554,0.04864602983046216,cds-ABJ14960.1,gyrB,DNA gyrase subunit B
gene-PA14_00060,59.62347931198001,55.490213294052545,0.10364721559908278,0.5344472304894243,cds-ABJ14961.1,PA14_00060,putative acyltransferase
gene-PA14_00070,30.204222527641292,23.982006688117703,0.3327978579303593,0.7573718933242487,cds-ABJ14962.1,PA14_00070,putative histidinol-phosphatase
gene-PA14_00080,96.5291117738745,116.48884246864797,-0.2711557658170647,0.9547796470836801,cds-ABJ14963.1,PA14_00080,conserved hypothetical protein
gene-PA14_00090,391.77397603992017,393.64021921216477,-0.006856063580708424,0.020832486773877387,cds-ABJ14964.1,glyS,glycyl-tRNA synthetase beta chain
gene-PA14_00100,196.38430933552286,171.70341337159095,0.19376094547935496,0.5672198029692469,cds-ABJ14965.1,glyQ,glycyl-tRNA synthetase alpha chain
gene-PA14_00110,42.18492980465869,40.4720854013578,0.05980051085712639,0.5041320113650886,cds-ABJ14966.1,tag,DNA-3-methyladenine glycosidase I
gene-PA14_00120,191.78337478862963,162.8802465969201,0.2356660101467026,0.2449796439512551,cds-ABJ14967.1,PA14_00120,putative 2-OH-lauroyltransferase
gene-PA14_00130,28.5995514009351,34.98768991437958,-0.2908548858012316,0.8202822634230478,cds-ABJ14968.1,PA14_00130,hypothetical protein
gene-PA14_00140,12.693819519151022,11.691599938823316,0.11865385661499243,1.5319421796593051,cds-ABJ14969.1,PA14_00140,putative membrane protein
gene-PA14_00150,3.0672790495827655,3.321635200292954,-0.11493417770705233,0.14424061430816357,cds-ABJ14970.1,PA14_00150,hypothetical protein
gene-PA14_00160,49.15658431951689,39.42735656990917,0.3181876778478745,0.3286022161267528,cds-ABJ14971.1,PA14_00160,putative tetratricopeptide repeat domain
