,wt_light_mean_rpm,wt_dark_mean_rpm,log2_FC,-log10_pval,protein_ID,common_name,product
gene-PA14_00010,317.3945035936562,287.4855388696172,0.14278775710225003,1.6332011373003206,cds-ABJ14957.1,dnaA,chromosomal replication initiator protein DnaA
gene-PA14_00020,577.105223863374,538.438095711561,0.10005390243785688,0.9670140274199,cds-ABJ14958.1,dnaN,DNA polymerase III%2C beta chain
gene-PA14_00030,367.7450202403008,246.5709749326427,0.576702820557386,2.288181201765815,cds-ABJ14959.1,recF,DNA replication and repair protein RecF
gene-PA14_00050,1370.152412851329,1329.065263226006,0.043924435094170586,0.526546004165497,cds-ABJ14960.1,gyrB,DNA gyrase subunit B
gene-PA14_00060,59.398068260904374,55.490213294052545,0.09818266240711211,0.614008397179009,cds-ABJ14961.1,PA14_00060,putative acyltransferase
gene-PA14_00070,29.120951119504287,23.982006688117703,0.2801050845596546,2.700290264672823,cds-ABJ14962.1,PA14_00070,putative histidinol-phosphatase
gene-PA14_00080,66.0188463839505,116.48884246864797,-0.8192419336086073,2.640020034011352,cds-ABJ14963.1,PA14_00080,conserved hypothetical protein
gene-PA14_00090,356.5111961716893,393.64021921216477,-0.14293024664234072,1.0055322834634162,cds-ABJ14964.1,glyS,glycyl-tRNA synthetase beta chain
gene-PA14_00100,177.28802216869826,171.70341337159095,0.04617634910354539,1.2031129614097293,cds-ABJ14965.1,glyQ,glycyl-tRNA synthetase alpha chain
gene-PA14_00110,40.146198080571644,40.4720854013578,-0.011663819928778558,0.1198350348190741,cds-ABJ14966.1,tag,DNA-3-methyladenine glycosidase I
gene-PA14_00120,212.97620472866035,162.8802465969201,0.38688059810023784,1.8884313006173197,cds-ABJ14967.1,PA14_00120,putative 2-OH-lauroyltransferase
gene-PA14_00130,24.79740508363483,34.98768991437958,-0.4966582376064445,1.4266179082148425,cds-ABJ14968.1,PA14_00130,hypothetical protein
gene-PA14_00140,14.112918784795681,11.691599938823316,0.27154400145341584,1.4664588576540583,cds-ABJ14969.1,PA14_00140,putative membrane protein
gene-PA14_00150,3.299839678941165,3.321635200292954,-0.00949770108605311,0.11064853718608324,cds-ABJ14970.1,PA14_00150,hypothetical protein
gene-PA14_00160,50.64004845098744,39.42735656990917,0.36108178958536924,1.4591645903559387,cds-ABJ14971.1,PA14_00160,putative tetratricopeptide repeat domain
gene-PA14_00170,102.00129255937172,114.51637081148318,-0.16696641940784357,1.0550222681217802,cds-ABJ14972.1,trkA,potassium uptake protein TrkA
gene-PA14_00180,83.89304261723164,95.8639348666839,-0.1924369857643272,1.0033021287734731,cds-ABJ14973.1,sun,putative tRNA and rRNA cytosine-C5-methylases
gene-PA14_00190,80.41618765674757,87.93140767495,-0.1288926202203594,0.6208792034530751,cds-ABJ14974.1,fmt,methionyl-tRNA formyltransferase
gene-PA14_00200,84.85993939636103,93.28295252624109,-0.13652980256963174,0.5628587237142532,cds-ABJ14975.1,def,polypeptide deformylase
gene-PA14_00210,229.47904821366535,200.62210813103127,0.19388184184332702,2.7182674990434506,cds-ABJ14976.1,PA14_00210,putative lysin domain
gene-PA14_00230,1.9732173476356263,4.397772882202277,-1.1562228181664578,2.2153093123607954,cds-ABJ14977.1,smf,putative Rossmann fold nucleotide-binding protein
gene-PA14_00240,77.1083072007676,72.14927198194972,0.09590145743698851,1.6045126779159096,cds-ABJ14978.1,PA14_00240,putative translation factor
gene-PA14_00250,117.98045041010295,122.45329817944894,-0.053683809767568216,0.3135476382472114,cds-ABJ14979.1,qor,quinone oxidoreductase
gene-PA14_00280,109.77150443629004,181.04489627602015,-0.721843908046609,1.875831860931228,cds-ABJ14980.1,hemF,coproporphyrinogen III oxidase%2C aerobic
gene-PA14_00290,48.08828243348205,78.21288438297903,-0.7017208790695807,1.5011942731530252,cds-ABJ14981.1,aroE,shikimate dehydrogenase
gene-PA14_00300,378.05365724835707,584.3286883923056,-0.6281891096535487,1.432061161800971,cds-ABJ14982.1,plcB,phospholipase C%2C PlcB
gene-PA14_00310,243.78016855074807,298.9046387577253,-0.29410451765988327,1.0441129525747366,cds-ABJ14983.1,PA14_00310,putative peptidyl-prolyl isomerase
gene-PA14_00320,72.76415543487595,85.32436430774395,-0.2297298227569056,0.8426559462569473,cds-ABJ14984.1,PA14_00320,conserved hypothetical protein
gene-PA14_00340,4.828515930236354,5.811091169940401,-0.2672292010917702,0.40692260315429946,cds-ABJ14985.1,PA14_00340,putative sulfate permease
gene-PA14_00360,6.283261460108306,7.937690738379335,-0.3372056912074698,1.1175487948913865,cds-ABJ14986.1,PA14_00360,putative glycine betaine/L-proline ABC transporter%2C periplasmic substrate-binding protein
gene-PA14_00380,11.697743322523818,17.61701582831002,-0.590739284826917,1.4146371820741306,cds-ABJ14987.1,betC,choline sulfatase
gene-PA14_00400,26.989221714462712,28.016033489285135,-0.053869336906217875,0.3315691011485803,cds-ABJ14988.1,PA14_00400,putative transcriptional regulator%2C LysR family
gene-PA14_00410,37.81123881350652,38.1680907028742,-0.013551902243384687,0.048621516727036636,cds-ABJ14989.1,PA14_00410,putative dioxygenase
gene-PA14_00420,3.2471137602369597,2.989673105753163,0.11917014363010847,0.15014428393387214,cds-ABJ14990.1,PA14_00420,putative histidine phosphotransfer domain
gene-PA14_00430,6.286675521424958,5.107829690464276,0.2995868266161315,0.8348604613160278,cds-ABJ14991.1,bvga,putative two-component response regulator
gene-PA14_00440,48.96940462127978,52.01928690984689,-0.08716596533295447,0.4007131368614353,cds-ABJ14992.1,trpA,tryptophan synthase alpha chain
gene-PA14_00450,67.98024226810894,69.24430859366251,-0.026579992658455096,0.10731018770434518,cds-ABJ14993.1,trpB,tryptophan synthase beta chain
gene-PA14_00460,14.431722065293437,12.468423487210048,0.21096438212975605,1.0408246493811542,cds-ABJ14994.1,trpI,trpBA operon transcriptional activator
gene-PA14_00470,424.2043220733431,147.7246618931758,1.5218486167381768,2.9008716541109747,cds-ABJ14995.1,PA14_00470,conserved hypothetical protein
gene-PA14_00480,1079.4849921020596,341.9367059192955,1.6585419777037331,2.675557039248699,cds-ABJ14996.1,PA14_00480,conserved hypothetical protein
gene-PA14_00490,41.163462048426545,37.91019963781629,0.11877826815141096,0.24830651164021883,cds-ABJ14997.1,PA14_00490,putative hemolysin activation/secretion protein
gene-PA14_00510,62.93758000878248,72.33541683353904,-0.2007804817127723,0.5290835509963907,cds-ABJ14998.1,PA14_00510,putative hemagglutinin
gene-PA14_00520,2.4121962874153424,3.3014954572329014,-0.4527721904223514,0.8498240635551995,cds-ABJ14999.1,PA14_00520,conserved hypothetical protein
gene-PA14_00530,23.57376620852229,15.886640573252707,0.5693681548374343,1.4705723207220571,cds-ABJ15000.1,PA14_00530,hypothetical protein
gene-PA14_00550,50.17821687863947,59.36842894427173,-0.24263472697645488,1.4929498748199663,cds-ABJ15001.1,PA14_00550,putative membrane protein
gene-PA14_00560,29.978336580249575,23.534086939566247,0.3491684395036364,2.4669850392186663,cds-ABJ15002.1,exoT,exoenzyme T
gene-PA14_00570,57.21135230046236,63.58940458114557,-0.15248495203687992,0.2862384459620682,cds-ABJ15003.1,PA14_00570,putative lipoprotein
gene-PA14_00580,35.14102721034692,35.40574458473289,-0.010827092866545936,0.01549818679893062,cds-ABJ15004.1,PA14_00580,putative lipoprotein
gene-PA14_00590,19.799150794735272,29.172967246266484,-0.5591935567965847,0.9950205571703346,cds-ABJ15005.1,PA14_00590,putative lipoprotein
gene-PA14_00600,10.341249201775293,10.865181131311049,-0.07130174804375701,0.12203308128541453,cds-ABJ15006.1,PA14_00600,putative transcriptional regulator
gene-PA14_00620,125.27183118146127,208.30450759421092,-0.7336320097387061,1.2706267879066608,cds-ABJ15007.1,PA14_00620,conserved hypothetical protein
gene-PA14_00630,235.91379082109097,405.6272943313088,-0.781894974091463,2.4098762397667874,cds-ABJ15008.1,PA14_00630,hypothetical protein
gene-PA14_00640,441.0693125750187,502.74079077952666,-0.18880936071486046,0.2311832715278963,cds-ABJ15009.1,phzH,potential phenazine-modifying enzyme
gene-PA14_00650,30.552253132148923,78.84083180836386,-1.3676641903083184,1.8027990212213532,cds-ABJ15010.1,PA14_00650,conserved hypothetical protein
gene-PA14_00660,47.89295115310241,47.52967307188902,0.010984858391399588,0.06103994381766979,cds-ABJ15011.1,PA14_00660,putative RNA 2'-phosphotransferase
gene-PA14_00670,118.74317026920862,138.83468103256266,-0.22552346114715516,0.6604680982499225,cds-ABJ15012.1,PA14_00670,conserved hypothetical protein
gene-PA14_00680,9.186491214741187,11.316144084553928,-0.300796587870573,1.214775523014547,cds-ABJ15013.1,PA14_00680,putative transcriptional regulator%2C LysR family
gene-PA14_00690,48.93667534877975,39.49041941193835,0.3094133939224591,2.2300662118889427,cds-ABJ15014.1,PA14_00690,putative metallo-beta-lactamase
gene-PA14_00700,12.492418581037489,16.088824032749113,-0.3650060388252843,0.8356507479637778,cds-ABJ15015.1,PA14_00700,putative protein-disulfide isomerase
gene-PA14_00710,388.05541047721687,105.39295108319747,1.8804842801563215,4.348143791757796,cds-ABJ15016.1,osmC,osmotically inducible protein OsmC
gene-PA14_00720,142.56523130630836,73.39926887086823,0.9577845741917291,2.4085105011975694,cds-ABJ15017.1,PA14_00720,conserved hypothetical protein
gene-PA14_00730,18.52997053448101,26.017779072931898,-0.4896372063133343,1.615051624176381,cds-ABJ15018.1,PA14_00730,conserved hypothetical protein
gene-PA14_00740,28.998302018772602,13.755290245526838,1.07598178916338,3.0362310740048444,cds-ABJ15019.1,PA14_00740,putative lipoprotein
gene-PA14_00750,43.46160371581673,53.2521947350154,-0.29309956925802194,0.9322599766597326,cds-ABJ15020.1,PA14_00750,putative aminopeptidase
gene-PA14_00760,49.40141505377793,51.9094061115004,-0.07144361377707881,0.6662822522335587,cds-ABJ15021.1,PA14_00760,hypothetical protein
gene-PA14_00770,21.232821267307916,25.962912232370773,-0.29015612642496574,0.9480651703742211,cds-ABJ15022.1,PA14_00770,putative phosphatase
gene-PA14_00780,35.89782583988875,32.32137731017327,0.15140778812762123,0.9177347231066587,cds-ABJ15023.1,PA14_00780,putative carbonic anhydrases
gene-PA14_00790,453.32661846600917,548.6059441279158,-0.2752193772839428,2.227410083599606,cds-ABJ15024.1,prlC,oligopeptidase A
gene-PA14_00800,80.74754536979421,77.45744342706769,0.06001451915488596,1.2650790223062622,cds-ABJ15025.1,PA14_00800,putative nucleic-acid-binding protein
gene-PA14_00810,18.327855224133952,18.740596675478923,-0.03212891783368093,0.0954434428077095,cds-ABJ15026.1,PA14_00810,putative DNA repair photolyase
gene-PA14_00820,167.96442199953682,196.5643120206454,-0.22684573460542146,0.483659498853661,cds-ABJ15027.1,PA14_00820,conserved hypothetical protein
gene-PA14_00830,48.995416697111665,53.01555990919394,-0.11376904843499853,0.2800835904939674,cds-ABJ15028.1,PA14_00830,conserved hypothetical protein
gene-PA14_00850,6.189708591586753,9.956482783060752,-0.6857646089047609,1.489170757095012,cds-ABJ15029.1,PA14_00850,putative permease
gene-PA14_00860,5.054254965375727,8.509531235515675,-0.7515810998674946,1.3734492107955278,cds-ABJ15030.1,PA14_00860,putative ATP-binding component of ABC transporter
gene-PA14_00875,43.54928615893368,63.04924807078023,-0.5338300836906099,1.4309256697153547,cds-ABJ15671.1,ppkA,serine/threonine protein kinase PpkA
gene-PA14_00890,10.30988459330238,12.231871773773781,-0.24661698247979144,0.48435476139401,cds-ABJ15031.1,PA14_00890,putative serine/threonine phosphoprotein phosphatase
gene-PA14_00900,11.718765952365155,15.761253622186116,-0.4275616025998385,1.1990194775850516,cds-ABJ15032.1,PA14_00900,conserved hypothetical protein
gene-PA14_00910,46.14326940261862,61.75102004617321,-0.42034273304100445,1.1869181797228774,cds-ABJ15033.1,PA14_00910,conserved hypothetical protein
gene-PA14_00925,23.296839944239327,30.977352760711266,-0.41107956868500206,1.468638765172761,cds-ABJ15641.1,PA14_00925,hypothetical protein
gene-PA14_00940,26.901752027593886,35.01183808266353,-0.380142657052066,0.6858170931607119,cds-ABJ15034.1,PA14_00940,conserved hypothetical protein
gene-PA14_00960,7.776777679338861,11.215683076469972,-0.528273030241999,1.437913614420153,cds-ABJ15035.1,PA14_00960,putative lipoprotein
gene-PA14_00970,14.837971724761372,13.950787284678242,0.08894735019156395,0.20877220344000136,cds-ABJ15036.1,PA14_00970,conserved hypothetical protein
gene-PA14_00980,35.92340961906963,57.67694740474271,-0.6830705077351474,2.0852693077309237,cds-ABJ15037.1,PA14_00980,conserved hypothetical protein
