,dimA_dark_mean_rpm,wt_dark_mean_rpm,log2_FC,-log10_pval,protein_ID,common_name,product
gene-PA14_10170,13.350519960793443,5.557179831325288,1.2644709469141313,1.5557158330946623,cds-ABJ13431.1,fepB,ferrienterobactin-binding periplasmic protein precursor FepB
gene-PA14_12170,0.16265373525118385,0.02928583122127122,2.4734885572547043,1.3074499585043988,cds-ABJ13267.1,PA14_12170,hypothetical protein
gene-PA14_13960,0.34049342469504507,0.12726465079430885,1.4197880445059508,1.3720832466008857,cds-ABJ13134.1,PA14_13960,hypothetical protein
gene-PA14_20460,454.2827654477703,107.19479182267355,2.0833557506403046,4.0747820796383944,cds-ABJ12625.1,PA14_20460,hypothetical protein
gene-PA14_20470,831.2182712640266,180.89992478930245,2.2000355524878876,3.3520329604876475,cds-ABJ12624.1,PA14_20470,hypothetical protein
gene-PA14_20480,0.578643073887611,213.42862723645428,-8.526861759898114,4.989199729585235,cds-ABJ12623.1,PA14_20480,hypothetical protein
gene-PA14_28600,511.7177538296905,248.75585392074393,1.0406178082037774,3.9685697997098246,cds-ABJ11974.1,PA14_28600,conserved hypothetical protein
gene-PA14_31250,0.04140539511986202,0.1490839823220459,-1.8482092685600162,1.3900367938005285,cds-ABJ11757.1,PA14_31250,hypothetical protein
gene-PA14_36620,1.1931510856942655,3.2202972037845483,-1.4324163365730742,1.6077397620122813,cds-ABJ11340.1,PA14_36620,conserved hypothetical protein
gene-PA14_36680,0.7151724490423552,1.5713627066143092,-1.1356520550984737,1.6989394552723982,cds-ABJ11335.1,PA14_36680,putative metal-dependent hydrolase
gene-PA14_47070,1.288175582947985,0.5609148646096019,1.1994740690748666,1.6454182748508177,cds-ABJ10517.1,PA14_47070,conserved hypothetical protein
gene-PA14_64620,21.076057313571994,48.889876282016566,-1.2139307073086534,1.6782187111416642,cds-ABJ14274.1,PA14_64620,putative oxidoreductase
gene-PA14_70870,0.5271275111009627,3.159813553303563,-2.583613244791794,1.438211912146511,,,
gene-PA14_72360,1342.7339952463478,579.2582367262208,1.2128949652684418,3.743287147410546,cds-ABJ14867.1,PA14_72360,conserved hypothetical protein
gene-PA14_72370,1235.940645231879,519.6882436322044,1.2498911314583336,3.485882250790141,cds-ABJ14868.1,PA14_72370,conserved hypothetical protein
