"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mean_numerator","mean_denominator"
"gene-PA14_00010",5198.54175002586,-0.0131593040873567,0.154139726070053,-0.0853725669745647,0.931965201904675,0.998023117176429,5158.89588583946,5206.10923887595
"gene-PA14_00020",9239.24360550887,0.0232259650907306,0.132662160014255,0.175076035911333,0.861019888003081,0.998023117176429,9268.64029404968,9121.20523613639
"gene-PA14_00030",5611.29288292946,0.0198311559796724,0.261872628052811,0.0757282505129673,0.939635299863086,0.998023117176429,5217.12739303004,5145.99167527962
"gene-PA14_00050",22483.8069952496,-0.00919126091575361,0.125955706912548,-0.0729721672884195,0.941828265732968,0.998023117176429,21706.6593159809,21845.4347004317
"gene-PA14_00060",1129.82677130261,-0.00659736085288898,0.14419104867605,-0.0457543024581997,0.963506081992102,0.998023117176429,1077.12194754172,1082.69365296006
"gene-PA14_00070",583.564585254394,-0.00696535414957489,0.210100248646292,-0.0331525269220466,0.973552955319922,0.998023117176429,551.267186174871,554.084681359942
"gene-PA14_00080",2140.70064208791,0.245959656463434,0.336438692304106,0.731068281055831,0.464737447331501,0.998023117176429,2541.23770040763,2142.7250187844
"gene-PA14_00090",6486.98291548599,-0.0258747401685286,0.127712878749194,-0.202600868619853,0.839447011021932,0.998023117176429,6468.68223553969,6585.8601585066
"gene-PA14_00100",3202.74158373886,-0.0704016515161554,0.180078435567779,-0.390949928536319,0.695834247377295,0.998023117176429,3025.51848076556,3177.21574353484
"gene-PA14_00110",729.394271725279,-0.0197779277634782,0.104001957631107,-0.190168802722255,0.849176856823162,0.998023117176429,723.325711664991,733.67807821742
"gene-PA14_00120",3124.47095741383,0.0691545022591612,0.280592741163658,0.246458628873889,0.805327226203391,0.998023117176429,2773.56811710886,2643.84337850659
"gene-PA14_00130",538.341762423737,0.269182484716351,0.235696930348169,1.14207038809847,0.253424762922259,0.998023117176429,630.213625162376,522.719352533092
"gene-PA14_00140",221.354116352443,0.11307551284766,0.174363594715434,0.648504138906987,0.516658934721301,0.998023117176429,230.836480927605,213.423838180328
"gene-PA14_00150",66.2226471193934,0.137977477638445,0.221530388995663,0.622837698538713,0.533391182263834,0.998023117176429,72.7166171582911,66.3797480211075
"gene-PA14_00160",897.675652083953,0.061715671463296,0.286834730918931,0.215161083407082,0.829641731262172,0.998023117176429,839.370220378686,804.180383138917
"gene-PA14_00170",1929.85655764595,-0.0771321858254966,0.200151770158892,-0.385368491941213,0.699964423109498,0.998023117176429,1954.00170786456,2061.61511881698
"gene-PA14_00180",1746.32185762894,-0.0320296421175211,0.179866012110313,-0.178075011180418,0.85866406654791,0.998023117176429,1740.51055643266,1779.57977257842
"gene-PA14_00190",1496.8198547145,0.00762524556514153,0.156856868009359,0.0486127618249179,0.961227899524945,0.998023117176429,1513.28042933479,1504.81978280629
"gene-PA14_00200",1481.88755593845,0.0159121448578113,0.165691417062663,0.0960348166483088,0.923492920657979,0.998023117176429,1508.26706857834,1491.10017601606
"gene-PA14_00210",3531.37841370541,-0.143148850347178,0.19379949336113,-0.738644089643886,0.460123144315426,0.998023117176429,3223.33793953393,3559.89719514781
"gene-PA14_00230",68.2791451648312,-0.00551947641572159,0.405654270127718,-0.0136063560084892,0.989144033579207,0.998023117176429,75.8287178975791,75.8972161797007
"gene-PA14_00240",1193.3784904023,0.192889292377383,0.137072157244,1.40720986855138,0.159365166199412,0.998023117176429,1187.69151377443,1039.04302493171
"gene-PA14_00250",1922.05491076907,0.195127244058872,0.107819746654162,1.80975424367073,0.0703339065005962,0.998023117176429,2051.01094226406,1791.92348527795
"gene-PA14_00280",2603.57608099959,-0.158697844029145,0.285317716444224,-0.556214475592048,0.578064244631967,0.998023117176429,2518.77123656162,2811.54384464558
"gene-PA14_00290",1302.71467979588,-0.0807143561658626,0.312669266065415,-0.258146114524016,0.796294143068848,0.998023117176429,1333.80467881766,1410.09474764978
"gene-PA14_00300",8438.5087370397,0.268123018615595,0.244335749141609,1.09735484699867,0.272486303556266,0.998023117176429,9906.82779020808,8226.42884866918
"gene-PA14_00310",5805.67180754472,0.23590241107636,0.197138326516005,1.19663393336763,0.23144926817392,0.998023117176429,6682.91413155142,5674.18673729638
"gene-PA14_00320",1637.03678615294,0.218291467028151,0.160669849751933,1.35863366627393,0.174262701466455,0.998023117176429,1815.09884019802,1559.66360073125
"gene-PA14_00340",86.7740879989036,0.185233726504375,0.36690311783704,0.504857324724741,0.613659049528349,0.998023117176429,89.8872230429158,78.8986824212084
"gene-PA14_00360",107.372733383139,0.340709090346302,0.309755765235429,1.09992816465368,0.271363422102544,0.998023117176429,127.570655509664,100.926798038161
"gene-PA14_00380",207.169301929292,0.348252799352998,0.335172183701724,1.03902655496888,0.298792386326255,0.998023117176429,227.448350771281,178.82849117318
"gene-PA14_00400",485.531323005192,-0.000663543349008833,0.126290145912226,-0.00525411815954358,0.995807839527836,0.998255308521114,464.170406526011,464.927304595085
"gene-PA14_00410",698.665917312762,0.0522585756273029,0.147209422265325,0.354994774268688,0.722593506140615,0.998023117176429,680.117338315123,654.975028814026
"gene-PA14_00420",63.2361519361735,0.142436032197062,0.25423244815831,0.560259059096845,0.575302748488795,0.998023117176429,62.1754368623334,56.2805816424865
"gene-PA14_00430",107.177642567574,0.0273653063744738,0.34535290386167,0.0792386746093061,0.936842783396009,0.998023117176429,105.597543228495,103.979222680704
"gene-PA14_00440",944.875076532017,0.179669563743603,0.11866833804462,1.51404803255984,0.130013657564019,0.998023117176429,977.60730269936,863.692378932678
"gene-PA14_00450",1245.47144634344,0.118350108488205,0.162789937506925,0.72701120413644,0.467219092207123,0.998023117176429,1277.79116627294,1177.74569193584
"gene-PA14_00460",242.432570204448,-0.00451888463104801,0.186334628702708,-0.024251448388897,0.9806520403001,0.998023117176429,222.028564861951,223.052614949079
"gene-PA14_00470",3817.777372449,0.69111922026967,0.697713831089352,0.990548258432278,0.321906213606652,0.998023117176429,4206.04650215007,2605.04857271707
"gene-PA14_00480",8841.7288589781,0.661368503107013,0.66402563969733,0.995998442783733,0.319250901796801,0.998023117176429,9147.83135999771,5783.94180942496
"gene-PA14_00490",767.897163772762,-0.269946306650845,0.158202224730641,-1.70633698173627,0.0879453563584871,0.998023117176429,700.072071774449,844.514920243009
"gene-PA14_00510",1181.75667961195,-0.278241464297085,0.118422107918791,-2.3495736496085,0.0187949254409694,0.998023117176429,1080.24115694145,1310.25950162422
"gene-PA14_00520",80.5374769804379,-0.159133848227747,0.30908702729649,-0.51485126897642,0.60665695585677,0.998023117176429,75.6751325385806,84.521533899253
"gene-PA14_00530",347.118206192751,-0.0842965132375426,0.325507585102455,-0.25896942834991,0.795658828660354,0.998023117176429,287.007568764469,304.400717839249
"gene-PA14_00550",950.635645770041,0.128971589254613,0.130095132045581,0.991363683073289,0.321508026987259,0.998023117176429,1006.06935797875,920.056170043061
"gene-PA14_00560",418.050035649589,0.10746278202205,0.203872175650161,0.52710862421193,0.59811815811544,0.998023117176429,419.084131503779,388.445508836251
"gene-PA14_00570",1199.57830446935,-0.653220287377942,0.343104443212168,-1.90385260319699,0.0569293833951479,0.998023117176429,927.554865389878,1459.29200555279
"gene-PA14_00580",837.049054891379,-0.715037344916095,0.326353647164494,-2.19098928762911,0.028452567661484,0.998023117176429,584.84102585253,960.605475791186
"gene-PA14_00590",533.628781586237,-0.351193671598608,0.340160058681668,-1.03243653284781,0.301867665141356,0.998023117176429,488.671897809896,623.661604389447
"gene-PA14_00600",275.216355538301,0.114876738811282,0.233211797688666,0.492585452150413,0.622305529363285,0.998023117176429,292.810571195908,270.637578779339
"gene-PA14_00620",2917.27215331952,0.197813867415917,0.336727389735088,0.587459985276346,0.556894817221012,0.998023117176429,3329.84231668523,2903.4102749856
"gene-PA14_00630",6773.39254487409,0.0817731145811918,0.282660278208925,0.289298217278164,0.772353176427491,0.998023117176429,6245.55180613264,5901.70900879336
"gene-PA14_00640",8034.42608847351,0.481105348000462,0.200199431766967,2.40313043725554,0.0162553881162924,0.998023117176429,9416.72503187781,6746.05037544036
"gene-PA14_00650",922.336567561005,0.630782423559309,0.441758174279933,1.42789077890293,0.15332329814097,0.998023117176429,1236.47826625725,798.263124617503
"gene-PA14_00660",1140.36929838343,0.179715434939995,0.120170572245812,1.4955028638158,0.134783253064102,0.998023117176429,1192.47659546695,1053.44151620484
"gene-PA14_00670",2304.2909298582,0.148434210163228,0.149384941741244,0.993635693350789,0.320400260457413,0.998023117176429,2460.91079918312,2220.65871093172
"gene-PA14_00680",172.663567282112,-0.0376325120056545,0.183968130308587,-0.204559952544661,0.837915946926368,0.998023117176429,162.244960365603,166.096997861736
"gene-PA14_00690",749.069133877724,0.145416213937277,0.195479004185571,0.743896842236985,0.456938885916169,0.998023117176429,751.06748664222,679.385846377133
"gene-PA14_00700",303.31249276761,0.205182299931969,0.173106528610049,1.18529498326534,0.235900836329851,0.998023117176429,334.436133148353,290.10747622791
"gene-PA14_00710",2524.93953644013,1.39252763445815,1.20307720208326,1.15747155049305,0.247079756107568,0.998023117176429,3294.31603469967,1254.75867990248
"gene-PA14_00720",1631.63688453348,0.477233217350892,0.569918676990241,0.83737072782239,0.402384214333788,0.998023117176429,1747.54455078007,1255.28386346099
"gene-PA14_00730",404.394879987781,0.386202346762147,0.222423478122813,1.73633804318491,0.0825040802795944,0.998023117176429,444.163751834498,338.983280626409
"gene-PA14_00740",279.995701499728,0.742900656689195,0.549611546497942,1.35168313224653,0.176476703344658,0.998023117176429,335.517810936928,200.345173244394
"gene-PA14_00750",822.925572261374,0.0159622290749213,0.216046103726971,0.0738834387640408,0.941103133780231,0.998023117176429,861.822083876317,852.591864707901
"gene-PA14_00760",920.427839644661,-0.0883125545560087,0.114822287499716,-0.769123804089228,0.441819818211325,0.998023117176429,863.689179072213,918.662233232917
"gene-PA14_00770",536.522863549233,-0.00861047287842475,0.221512516218837,-0.0388712702352145,0.968993022281806,0.998023117176429,561.39781576502,565.009032475514
"gene-PA14_00780",666.016946797106,-0.0246978248767001,0.169414710548788,-0.14578323686707,0.884092509557055,0.998023117176429,625.571534762397,636.542497908986
"gene-PA14_00790",8594.71189498143,-0.00226708012865358,0.157375123655486,-0.014405581237963,0.988506406668771,0.998023117176429,8858.36635923486,8872.26311582297
"gene-PA14_00800",1793.7875863751,0.0458237849014837,0.0916469803337138,0.500003215977501,0.617072812985455,0.998023117176429,1805.63285023275,1748.91637964023
"gene-PA14_00810",422.64370341565,-0.0805738688325168,0.196813570582651,-0.409391835095436,0.682252130611635,0.998023117176429,429.627413642497,454.215525526009
"gene-PA14_00820",3201.12062960274,-0.346473973897073,0.221487136693512,-1.56430743143569,0.117745387746623,0.998023117176429,2804.53560406736,3566.62546469397
