"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mean_numerator","mean_denominator"
"PA14_00010",10058.2089734107,-0.0620003976408393,0.128481417552597,-0.482563150546328,0.629405948940362,0.948597253383736,10122.4606472997,10567.7453129281
"PA14_00020",17843.1781455386,-0.0919755426947368,0.121719993403217,-0.755632169565218,0.449869762753724,0.902516161182832,17538.7519439885,18693.5934228617
"PA14_00030",9443.87601831007,0.118643940432869,0.267276533734589,0.443899577621298,0.65711518994477,0.949749216236091,9508.33078232591,8757.70534730446
"PA14_00050",43695.6416143535,0.0998294271727729,0.117731502648686,0.847941501865192,0.396470550006124,0.900852482675323,44568.675344629,41589.0166316921
"PA14_00060",1841.31863971122,-0.109203567281871,0.121008550646972,-0.902445047874835,0.366820500242619,0.896702483473099,1740.34655902404,1877.32857749183
"PA14_00070",831.712694912223,0.0545474124589036,0.229185910949242,0.238005086058646,0.811877149437954,0.973489776030791,804.098891669234,774.244769257063
"PA14_00080",3680.87134406033,0.487611503964611,0.312065552362905,1.56252909131592,0.118163398099098,0.863088236950638,4499.46329499446,3208.8269305946
"PA14_00090",12230.435769175,-0.172243857558807,0.0942152741742781,-1.82819462203329,0.0675203478663977,0.861634986593172,11593.304169167,13064.4601275378
"PA14_00100",5592.61748132826,-0.252331683309969,0.15194597324004,-1.66066713009461,0.0967803184425936,0.8621739369793,5143.61354128041,6127.37350336122
"PA14_00110",1406.33153051195,-0.0391461383597982,0.12274925495564,-0.318911413140104,0.749793689438529,0.961245969582366,1386.47833113111,1425.012574466
"PA14_00120",6185.92719109288,0.215359028887275,0.289556972103094,0.743753560216808,0.457025579990891,0.906332114882222,5898.96787408908,5080.8380811339
"PA14_00130",1036.9209125602,-0.0621850355511334,0.242057834600409,-0.256901560958723,0.797254765544138,0.970974899040544,1086.70377668957,1134.45084600519
"PA14_00140",418.154648899753,-0.160173862889502,0.165183122893173,-0.969674504780307,0.332208762558694,0.896702483473099,401.57098332185,448.950409990489
"PA14_00150",116.05741310624,-0.168744959513892,0.236966534970077,-0.712104599643995,0.476400006213945,0.910833450145972,115.704478180921,130.052878835772
"PA14_00160",1542.30672268485,0.260291211623437,0.292713197569731,0.889236337085313,0.373876077884542,0.898079200942497,1556.40909899197,1299.33015775372
"PA14_00170",3617.78236315346,-0.319205049457986,0.159622469025887,-1.99975010664832,0.0455272546074798,0.861634986593172,3417.04675949014,4263.91532439135
"PA14_00180",2876.5381858974,-0.232537340311305,0.151005466380607,-1.53992663898139,0.123578236554296,0.866562839475252,2656.37949400986,3121.53106771388
"PA14_00190",2643.51512454176,-0.112458100863003,0.123821941075914,-0.90822434122605,0.363759706242724,0.896702483473099,2585.09830793025,2795.04695617602
"PA14_00200",2891.6545355645,0.129349888114651,0.144682856811213,0.894023597304486,0.371309265733302,0.896702483473099,3115.58035274951,2848.24848450117
"PA14_00210",6988.87274789821,-0.169170569852946,0.189892920731141,-0.890873494396692,0.372997041387651,0.897566380302544,6525.92376718589,7338.27173289229
"PA14_00230",124.833407416164,0.339438103348548,0.402837813093881,0.842617282478004,0.399442522261922,0.900852482675323,144.321958137401,114.008569118971
