Geneid,bphP_3,dimA_3_dark,wt_3_dark,bphP_1,dimA_1_light,wt_1_light,wt_2_dark,bphP_2,wt_3_light,dimA_2_dark,wt_2_light,dimA_1_dark,dimA_3_light,wt_1_dark,dimA_2_light
PA14_00010,8492,9843,9064,11177,13597,9266,9612,10167,10271,9917,10952,10644,7257,10083,11466
PA14_00020,14045,16979,17864,18476,23452,17310,18251,17055,18098,17120,19956,17441,14222,17573,21355
PA14_00030,9306,10066,6774,11239,10801,10911,7997,6841,10204,7842,13211,8484,8063,9446,10336
PA14_00050,40221,44673,42958,43276,50463,41504,42892,35649,40775,42464,49877,46426,36608,47172,52357
PA14_00060,1436,1690,1701,2176,2430,1932,1931,1706,1740,1652,2006,1756,1482,1887,2317
PA14_00070,871,750,656,1004,1067,783,766,615,840,763,932,806,773,747,1126
PA14_00080,3116,4696,4340,3115,4073,2022,4178,2789,2353,6580,2313,5042,2848,3913,4322
PA14_00090,8887,12161,12378,14171,17377,10586,13215,12152,11998,11270,11586,13340,9192,13707,13553
PA14_00100,4224,5045,5424,7084,8021,5497,5670,6314,5417,4700,6083,5230,3847,5951,6109
PA14_00110,1130,1225,1354,1610,1951,1225,1405,1310,1357,1387,1460,1469,1136,1505,1772
PA14_00120,7352,6663,4996,6465,7001,6491,5226,3281,6159,4876,8093,5364,5846,6242,8518
PA14_00130,670,1272,1265,988,1132,738,1244,1039,976,1419,772,1179,608,1155,1280
PA14_00140,350,426,402,443,482,429,413,376,493,368,475,407,335,407,474
PA14_00150,95,119,117,69,146,107,127,125,119,128,126,104,89,131,143
PA14_00160,1924,1389,1119,1710,1634,1672,1414,863,1482,1420,1869,1554,1443,1571,1960
PA14_00170,2502,3504,3547,4219,4924,3152,4075,4670,3358,3538,3342,3764,2432,3924,3775
PA14_00180,1641,3029,2941,3649,4312,2593,3178,2980,2766,2585,2489,3235,2116,3251,3104
PA14_00190,1603,2659,2522,3416,3836,2396,3014,2367,2658,2355,2521,3224,1961,3013,2800
PA14_00200,2630,3124,2643,3013,2899,2551,3264,2342,2618,2914,3145,3682,2143,3635,2998
PA14_00210,6387,6470,6506,8637,8301,7129,6721,7202,6938,5363,8292,6694,5586,7008,7608
PA14_00230,103,175,125,106,130,46,151,93,88,174,57,223,95,170,171
PA14_00240,2159,2193,2323,2840,2891,2422,2370,1712,2338,2253,2735,2225,1772,2588,2632
PA14_00250,2973,3394,4079,3898,5022,3543,4226,3370,3919,3917,3987,3710,2779,4012,4514
PA14_00280,3795,6498,5064,5282,6069,2808,6390,4871,4105,3631,3738,6728,3453,6831,5090
PA14_00290,1468,3275,2156,2339,2762,1322,2688,1660,1911,2135,1453,3712,1536,3180,2365
PA14_00300,10453,14448,21353,14140,19314,10341,19175,15188,13961,20585,11440,17677,9455,16869,18963
PA14_00310,6448,9176,10389,9021,11564,6821,9706,8059,8587,12805,7755,11569,6272,9365,11790
PA14_00320,2105,2652,2855,2557,3202,1957,2571,2032,2470,3441,2231,2958,2041,2664,3461
PA14_00340,40,206,143,149,208,170,183,67,122,185,174,199,129,264,200
PA14_00360,68,147,223,141,245,202,285,137,189,187,202,179,132,259,198
PA14_00380,198,303,452,367,568,382,665,206,303,347,448,398,340,645,428
PA14_00400,721,809,817,991,999,775,879,680,797,640,992,809,713,1011,999
PA14_00410,1063,1361,1187,1326,1390,1222,1251,775,1019,1267,1408,1507,964,1392,1497
PA14_00420,61,94,116,98,112,102,70,64,114,83,79,87,78,109,122
PA14_00430,118,125,151,131,181,202,192,188,182,120,285,121,159,178,219
PA14_00440,1098,1443,1544,1651,2078,1507,1631,1377,1563,1608,1478,1421,1167,1911,2097
PA14_00450,1457,1626,2160,2528,2782,1890,2375,2079,2213,1786,2211,1845,1509,2193,2397
PA14_00460,331,519,360,659,760,431,458,411,474,323,525,419,347,469,536
PA14_00470,2522,4776,4917,2007,5225,14566,4640,1998,12188,4838,17716,5683,5390,6631,9590
