Geneid,dimA_3_light,dimA_1_dark,bphP_2,wt_1_dark,wt_1_light,dimA_3_dark,dimA_2_light,bphP_3,wt_3_dark,wt_2_dark,wt_3_light,dimA_2_dark,dimA_1_light,bphP_1,wt_2_light
gene-PA14_00010,3740,5407,5368,5163,4785,5070,5886,4461,4637,4920,5318,5077,6989,5794,5720
gene-PA14_00020,7328,8924,9023,9011,8967,8765,10993,7352,9177,9373,9377,8823,12125,9600,10367
gene-PA14_00030,4656,4945,4619,5417,6500,5748,6129,5534,4070,4734,6170,4520,6397,6641,7861
gene-PA14_00050,18788,23659,18574,24103,21529,22839,26817,20777,21912,21889,21149,21574,25873,22412,25980
gene-PA14_00060,952,1067,980,1156,1197,1030,1437,953,1012,1138,1084,987,1455,1324,1267
gene-PA14_00070,550,561,425,550,561,531,776,611,469,524,594,517,733,688,669
gene-PA14_00080,1617,2878,1628,2356,1176,2711,2480,1833,2553,2510,1356,3753,2343,1789,1379
gene-PA14_00090,4852,7040,6512,7262,5625,6435,7141,4670,6570,6973,6364,5955,9231,7549,6155
gene-PA14_00100,2235,3003,3553,3377,3157,2923,3475,2413,3133,3200,3121,2689,4572,4055,3500
gene-PA14_00110,596,766,682,773,636,626,920,585,704,729,705,719,1002,830,759
gene-PA14_00120,2947,2722,1659,3156,3271,3356,4303,3709,2530,2639,3108,2473,3531,3266,4080
gene-PA14_00130,320,623,535,597,380,659,670,350,647,639,505,738,584,504,410
gene-PA14_00140,178,221,195,217,220,230,254,183,206,219,260,205,253,232,252
gene-PA14_00150,52,65,67,73,59,72,77,51,67,76,65,76,82,46,69
gene-PA14_00160,838,918,496,936,975,821,1148,1105,664,824,845,826,932,986,1091
gene-PA14_00170,1279,2007,2438,2092,1709,1867,2041,1333,1873,2132,1807,1897,2616,2273,1811
gene-PA14_00180,1266,1947,1772,1984,1574,1875,1871,993,1816,1919,1688,1589,2591,2191,1527
gene-PA14_00190,1079,1814,1361,1696,1346,1567,1585,889,1449,1706,1487,1327,2201,1954,1378
gene-PA14_00200,1094,1895,1248,1851,1295,1606,1532,1322,1342,1673,1342,1495,1495,1546,1597
gene-PA14_00210,2834,3382,3626,3533,3602,3263,3848,3233,3279,3381,3505,2701,4193,4366,4192
gene-PA14_00230,55,115,50,94,28,96,90,53,68,86,47,95,72,63,30
gene-PA14_00240,896,1137,872,1316,1225,1121,1336,1089,1175,1208,1180,1147,1463,1440,1379
gene-PA14_00250,1408,1884,1705,2034,1789,1718,2278,1509,2064,2137,1984,1991,2552,1973,2016
gene-PA14_00280,1839,3607,2559,3677,1491,3497,2701,1973,2707,3410,2207,1972,3234,2792,1971
gene-PA14_00290,896,2180,1026,1883,757,1920,1359,821,1301,1614,1139,1250,1604,1355,860
gene-PA14_00300,5111,9879,8285,9190,5664,8032,10336,5619,11609,10418,7662,11553,10653,7900,6183
gene-PA14_00310,3854,7278,5018,5965,4299,5805,7410,4005,6693,6167,5471,8258,7394,5764,4806
gene-PA14_00320,1261,1859,1279,1680,1264,1656,2179,1299,1794,1582,1588,2220,2066,1630,1417
gene-PA14_00340,77,111,38,146,88,110,106,23,80,105,66,99,116,81,97
gene-PA14_00360,91,106,84,153,112,85,113,41,131,167,109,108,135,84,118
gene-PA14_00380,184,209,109,333,198,158,223,104,242,348,160,183,293,197,240
gene-PA14_00400,400,492,404,569,449,482,560,399,463,529,455,403,586,585,560
gene-PA14_00410,532,857,476,774,689,764,838,584,677,721,580,731,806,761,787
gene-PA14_00420,50,56,50,65,71,65,86,44,75,50,78,55,78,67,64
gene-PA14_00430,96,73,112,106,132,84,134,74,103,113,120,81,117,88,172
gene-PA14_00440,719,882,800,1125,932,861,1298,698,937,999,955,957,1232,997,933
gene-PA14_00450,952,1125,1180,1341,1195,996,1526,942,1277,1404,1337,1068,1614,1482,1381
gene-PA14_00460,180,218,220,250,233,269,280,178,187,242,245,174,399,343,274
gene-PA14_00470,2953,3264,1137,3683,8143,2644,5305,1411,2752,2613,6842,2772,2972,1153,9814
gene-PA14_00480,7328,6502,2297,7042,18272,5949,12134,5780,6007,5420,14769,6386,7087,4133,23004
gene-PA14_00490,810,876,661,969,770,802,983,452,594,741,682,664,961,783,906
gene-PA14_00510,1058,1529,1101,1445,1018,1185,1271,894,970,1312,912,1019,1531,1360,1315
gene-PA14_00520,66,103,70,92,54,103,138,71,54,91,47,90,86,74,86
gene-PA14_00530,365,310,167,325,409,333,459,387,270,294,312,247,390,425,504
gene-PA14_00550,778,1046,758,1077,850,951,1230,621,965,1088,854,1066,1308,1045,834
gene-PA14_00560,325,475,298,452,474,428,456,364,367,377,471,392,471,412,525
