GCA_protein_ID,GCA_gene_ID,GCF_protein_ID,GCF_gene_ID,common_name,product,Orthogroup
ABJ14957.1,PA14_00010,WP_003109151.1,PA14_RS00005,dnaA,chromosomal replication initiator protein DnaA,OG0004837
ABJ14958.1,PA14_00020,WP_003097262.1,PA14_RS00010,dnaN,DNA polymerase III subunit beta,OG0004838
ABJ14959.1,PA14_00030,,,,,
ABJ14960.1,PA14_00050,WP_003097268.1,PA14_RS00020,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,OG0004839
ABJ14961.1,PA14_00060,WP_003100265.1,PA14_RS00025,PA14_RS00025,1-acyl-sn-glycerol-3-phosphate acyltransferase,OG0004840
ABJ14962.1,PA14_00070,WP_003142196.1,PA14_RS00030,gmhB,D-glycero-beta-D-manno-heptose 1%2C7-bisphosphate 7-phosphatase,OG0004841
ABJ14963.1,PA14_00080,WP_003142198.1,PA14_RS00035,PA14_RS00035,di-heme-cytochrome C peroxidase,OG0004842
ABJ14964.1,PA14_00090,WP_003100271.1,PA14_RS00040,glyS,glycine--tRNA ligase subunit beta,OG0004843
ABJ14965.1,PA14_00100,WP_003097276.1,PA14_RS00045,glyQ,glycine--tRNA ligase subunit alpha,OG0004844
ABJ14966.1,PA14_00110,WP_003097280.1,PA14_RS00050,PA14_RS00050,DNA-3-methyladenine glycosylase I,OG0004845
ABJ14967.1,PA14_00120,WP_003097282.1,PA14_RS00055,PA14_RS00055,lysophospholipid acyltransferase,OG0004846
ABJ14968.1,PA14_00130,WP_003114645.1,PA14_RS00060,PA14_RS00060,PilZ domain-containing protein,OG0004847
ABJ14969.1,PA14_00140,WP_003142200.1,PA14_RS00065,PA14_RS00065,7-cyano-7-deazaguanine/7-aminomethyl-7-deazaguanine transporter,OG0004848
ABJ14970.1,PA14_00150,WP_003142201.1,PA14_RS00070,PA14_RS00070,hypothetical protein,OG0004849
ABJ14971.1,PA14_00160,WP_003142202.1,PA14_RS00075,PA14_RS00075,tetratricopeptide repeat protein,OG0004850
ABJ14972.1,PA14_00170,WP_003111375.1,PA14_RS00080,trkA,Trk system potassium transporter TrkA,OG0004851
ABJ14973.1,PA14_00180,WP_003142203.1,PA14_RS00085,rsmB,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,OG0004852
ABJ14974.1,PA14_00190,WP_003142204.1,PA14_RS00090,fmt,methionyl-tRNA formyltransferase,OG0004853
