,dimA_light_mean_rpm,bphP_light_mean_rpm,log2_FC,-log10_pval,protein_ID,common_name,product
gene-PA14_00010,307.9400484168821,335.68774843710685,-0.12447037776498421,0.5986214807411446,cds-ABJ14957.1,dnaA,chromosomal replication initiator protein DnaA
gene-PA14_00020,568.1330111769562,557.3336129850122,0.027687567185022414,0.1739974550996359,cds-ABJ14958.1,dnaN,DNA polymerase III%2C beta chain
gene-PA14_00030,292.77539198388064,317.32105063350315,-0.11614893136252488,0.271067414629723,cds-ABJ14959.1,recF,DNA replication and repair protein RecF
gene-PA14_00050,1351.2627776372149,1340.682561856618,0.011340574564168779,0.038912507878853995,cds-ABJ14960.1,gyrB,DNA gyrase subunit B
gene-PA14_00060,60.14916745215796,59.62347931198001,0.012664202533618798,0.057520830284839126,cds-ABJ14961.1,PA14_00060,putative acyltransferase
gene-PA14_00070,31.57251738475739,30.204222527641292,0.06391904253037971,0.12719742578484253,cds-ABJ14962.1,PA14_00070,putative histidinol-phosphatase
gene-PA14_00080,103.07190249073703,96.5291117738745,0.09461509609739052,0.33191513866248123,cds-ABJ14963.1,PA14_00080,conserved hypothetical protein
gene-PA14_00090,383.16992413418257,391.77397603992017,-0.03203724314674297,0.07540636501339178,cds-ABJ14964.1,glyS,glycyl-tRNA synthetase beta chain
gene-PA14_00100,171.02786151234463,196.38430933552286,-0.1994482965803391,0.42894100473484476,cds-ABJ14965.1,glyQ,glycyl-tRNA synthetase alpha chain
gene-PA14_00110,44.5457955885902,42.18492980465869,0.0785615678767008,0.5269389238132628,cds-ABJ14966.1,tag,DNA-3-methyladenine glycosidase I
gene-PA14_00120,206.8472938419736,191.78337478862963,0.10908842023747221,0.11161905443098494,cds-ABJ14967.1,PA14_00120,putative 2-OH-lauroyltransferase
gene-PA14_00130,26.812775324523525,28.5995514009351,-0.09307195701067612,0.15892060367943042,cds-ABJ14968.1,PA14_00130,hypothetical protein
gene-PA14_00140,12.12519589513735,12.693819519151022,-0.06611817377038122,1.0174030267985277,cds-ABJ14969.1,PA14_00140,putative membrane protein
gene-PA14_00150,3.3074358923759797,3.0672790495827655,0.10875373032799793,0.1352756999652565,cds-ABJ14970.1,PA14_00150,hypothetical protein
gene-PA14_00160,47.8125786667779,49.15658431951689,-0.03999445516243306,0.03634849063322482,cds-ABJ14971.1,PA14_00160,putative tetratricopeptide repeat domain
gene-PA14_00170,104.96672600939176,125.73135072768999,-0.26041235122177653,0.4049450160505942,cds-ABJ14972.1,trkA,potassium uptake protein TrkA
gene-PA14_00180,92.34349502100639,92.75466606103562,-0.006409522226151989,0.00763924069048578,cds-ABJ14973.1,sun,putative tRNA and rRNA cytosine-C5-methylases
gene-PA14_00190,83.70927534209814,82.67744137615854,0.01789374582112579,0.024192865303499792,cds-ABJ14974.1,fmt,methionyl-tRNA formyltransferase
gene-PA14_00200,76.89057343179759,88.03530262178474,-0.19527542671295423,0.8728823415099402,cds-ABJ14975.1,def,polypeptide deformylase
gene-PA14_00210,205.88992548929556,245.5688621400653,-0.25425440045790304,2.364924185542685,cds-ABJ14976.1,PA14_00210,putative lysin domain
gene-PA14_00230,3.7835087298324375,3.2275929285424,0.2292660643003953,0.638169568352192,cds-ABJ14977.1,smf,putative Rossmann fold nucleotide-binding protein
gene-PA14_00240,69.4954740128444,73.99455246657519,-0.09050003750698571,0.23148521013881374,cds-ABJ14978.1,PA14_00240,putative translation factor
gene-PA14_00250,116.28549850793219,113.506056507753,0.03490191549397149,0.18624959718002973,cds-ABJ14979.1,qor,quinone oxidoreductase
gene-PA14_00280,138.8025015369226,154.392024934726,-0.15356466262483934,0.7177767365442431,cds-ABJ14980.1,hemF,coproporphyrinogen III oxidase%2C aerobic
gene-PA14_00290,62.4620889722687,59.246165976027726,0.07625902273481475,0.23758303513341564,cds-ABJ14981.1,aroE,shikimate dehydrogenase
gene-PA14_00300,455.6911926925249,451.87752339325533,0.01212468887036579,0.021105351411306168,cds-ABJ14982.1,plcB,phospholipase C%2C PlcB
gene-PA14_00310,284.01680173556025,265.9998937861751,0.09455060849148206,0.31744969322281835,cds-ABJ14983.1,PA14_00310,putative peptidyl-prolyl isomerase
gene-PA14_00320,87.5439011272655,77.82008549293944,0.16986410709759533,0.9201097099408784,cds-ABJ14984.1,PA14_00320,conserved hypothetical protein
gene-PA14_00340,5.196960012045989,2.7720026000098703,0.9067390682243669,1.3277589214986458,cds-ABJ14985.1,PA14_00340,putative sulfate permease
gene-PA14_00360,5.69491041286249,3.9216764453247692,0.5382025031007833,1.1683026333587123,cds-ABJ14986.1,PA14_00360,putative glycine betaine/L-proline ABC transporter%2C periplasmic substrate-binding protein
gene-PA14_00380,12.917049860391304,8.460994537383966,0.6103773829649176,1.427540753045477,cds-ABJ14987.1,betC,choline sulfatase
gene-PA14_00400,27.314160605911145,27.546447195236514,-0.012217170481006125,0.04639886138353526,cds-ABJ14988.1,PA14_00400,putative transcriptional regulator%2C LysR family
gene-PA14_00410,36.940014314495905,35.080727583376095,0.0745057530312383,0.1554051442209972,cds-ABJ14989.1,PA14_00410,putative dioxygenase
gene-PA14_00420,3.165967645944988,2.505640244884371,0.33746708394422625,1.1195877434763886,cds-ABJ14990.1,PA14_00420,putative histidine phosphotransfer domain
gene-PA14_00430,5.322223541254233,5.110533416597188,0.05855521240400328,0.08227468018931881,cds-ABJ14991.1,bvga,putative two-component response regulator
gene-PA14_00440,52.10208720456044,46.965800234114035,0.1497305734096067,0.6238829751110198,cds-ABJ14992.1,trpA,tryptophan synthase alpha chain
gene-PA14_00450,65.70993023660478,68.66401437249301,-0.06344279395377615,0.16257665515687073,cds-ABJ14993.1,trpB,tryptophan synthase beta chain
gene-PA14_00460,15.098919886707582,14.896231720961124,0.01949792712287114,0.024076747075533436,cds-ABJ14994.1,trpI,trpBA operon transcriptional activator
gene-PA14_00470,181.66829446394274,67.87259545849844,1.420405552676619,1.5172153861449251,cds-ABJ14995.1,PA14_00470,conserved hypothetical protein
gene-PA14_00480,483.165743680111,262.79525924379396,0.8785789186600185,0.9007581712432383,cds-ABJ14996.1,PA14_00480,conserved hypothetical protein
gene-PA14_00490,45.29749243767103,36.85070465474109,0.29773897326442605,0.6927477434903397,cds-ABJ14997.1,PA14_00490,putative hemolysin activation/secretion protein
gene-PA14_00510,72.26144847432386,71.92494934204434,0.006733873796393703,0.018067803222991934,cds-ABJ14998.1,PA14_00510,putative hemagglutinin
gene-PA14_00520,3.681647519838558,3.4610663284283505,0.08913489144252561,0.15218758371499932,cds-ABJ14999.1,PA14_00520,conserved hypothetical protein
gene-PA14_00530,21.6905695506782,20.129042734951202,0.10778936534763822,0.09598792252798205,cds-ABJ15000.1,PA14_00530,hypothetical protein
gene-PA14_00550,60.1347370711912,50.76383750324705,0.24439747104842413,0.9739751884518004,cds-ABJ15001.1,PA14_00550,putative membrane protein
gene-PA14_00560,23.716078824207628,23.645061779014743,0.004326585442197624,0.012434236752740668,cds-ABJ15002.1,exoT,exoenzyme T
gene-PA14_00570,65.95393166283772,105.14660774698984,-0.6728717275701259,1.0648547980753251,cds-ABJ15003.1,PA14_00570,putative lipoprotein
gene-PA14_00580,42.306775381867375,61.688985153360534,-0.5441241725205921,1.1947404494087912,cds-ABJ15004.1,PA14_00580,putative lipoprotein
gene-PA14_00590,25.20360901842645,37.7637851485596,-0.583373020067217,0.6164527179159676,cds-ABJ15005.1,PA14_00590,putative lipoprotein
gene-PA14_00600,12.378856123589307,10.891737822099756,0.18464382879505173,0.5546626935692812,cds-ABJ15006.1,PA14_00600,putative transcriptional regulator
gene-PA14_00620,174.56973025216362,165.44164300568468,0.07748100384330231,0.09457264751609787,cds-ABJ15007.1,PA14_00620,conserved hypothetical protein
gene-PA14_00630,354.016987813955,348.4415530055516,0.022901909703365416,0.016086186667167563,cds-ABJ15008.1,PA14_00630,hypothetical protein
gene-PA14_00640,452.39466140905125,445.19861578690546,0.02313279744807707,0.04612929436918049,cds-ABJ15009.1,phzH,potential phenazine-modifying enzyme
gene-PA14_00650,44.310747528226614,32.64443704089054,0.44081948995675746,0.8674495311169145,cds-ABJ15010.1,PA14_00650,conserved hypothetical protein
