,dimA_light_mean_rpm,wt_light_mean_rpm,log2_FC,-log10_pval,protein_ID,common_name,product
gene-PA14_00010,307.9400484168821,317.3945035936562,-0.043627638731218894,0.18637987995533606,cds-ABJ14957.1,dnaA,chromosomal replication initiator protein DnaA
gene-PA14_00020,568.1330111769562,577.105223863374,-0.02260565732150309,0.2769175939550422,cds-ABJ14958.1,dnaN,DNA polymerase III%2C beta chain
gene-PA14_00030,292.77539198388064,367.7450202403008,-0.32891150492311255,1.7360008503770907,cds-ABJ14959.1,recF,DNA replication and repair protein RecF
gene-PA14_00050,1351.2627776372149,1370.152412851329,-0.0200281241757358,0.12634790007490046,cds-ABJ14960.1,gyrB,DNA gyrase subunit B
gene-PA14_00060,60.14916745215796,59.398068260904374,0.018128755556241737,0.10603945207245748,cds-ABJ14961.1,PA14_00060,putative acyltransferase
gene-PA14_00070,31.57251738475739,29.120951119504287,0.11661181366502153,0.849095619885666,cds-ABJ14962.1,PA14_00070,putative histidinol-phosphatase
gene-PA14_00080,103.07190249073703,66.0188463839505,0.6427012588503391,2.8050486647553727,cds-ABJ14963.1,PA14_00080,conserved hypothetical protein
gene-PA14_00090,383.16992413418257,356.5111961716893,0.10403693971750254,0.3466534981325559,cds-ABJ14964.1,glyS,glycyl-tRNA synthetase beta chain
gene-PA14_00100,171.02786151234463,177.28802216869826,-0.05186370016517891,0.14126500053320382,cds-ABJ14965.1,glyQ,glycyl-tRNA synthetase alpha chain
gene-PA14_00110,44.5457955885902,40.146198080571644,0.15002589658549495,1.265429486696176,cds-ABJ14966.1,tag,DNA-3-methyladenine glycosidase I
gene-PA14_00120,206.8472938419736,212.97620472866035,-0.04212616750492988,0.11870515016894594,cds-ABJ14967.1,PA14_00120,putative 2-OH-lauroyltransferase
gene-PA14_00130,26.812775324523525,24.79740508363483,0.11273139142950145,0.19450016965375952,cds-ABJ14968.1,PA14_00130,hypothetical protein
gene-PA14_00140,12.12519589513735,14.112918784795681,-0.2190083083365896,1.2422035138251468,cds-ABJ14969.1,PA14_00140,putative membrane protein
