,dimA_light_mean_rpm,dimA_dark_mean_rpm,log2_FC,-log10_pval,protein_ID,common_name,product
gene-PA14_00010,307.9400484168821,306.5115364921819,0.0067081307042354075,0.026506856709326142,cds-ABJ14957.1,dnaA,chromosomal replication initiator protein DnaA
gene-PA14_00020,568.1330111769562,521.2173067322573,0.1243437437512368,1.2401546003145096,cds-ABJ14958.1,dnaN,DNA polymerase III%2C beta chain
gene-PA14_00030,292.77539198388064,272.28558509130653,0.10467369083158419,0.3256380419599651,cds-ABJ14959.1,recF,DNA replication and repair protein RecF
gene-PA14_00050,1351.2627776372149,1345.4894293488267,0.006177203554748007,0.04162781264792632,cds-ABJ14960.1,gyrB,DNA gyrase subunit B
gene-PA14_00060,60.14916745215796,51.791825161771136,0.21582036176091174,2.469994275666759,cds-ABJ14961.1,PA14_00060,putative acyltransferase
gene-PA14_00070,31.57251738475739,25.356522473420767,0.3163123773193128,2.0872592867098776,cds-ABJ14962.1,PA14_00070,putative histidinol-phosphatase
gene-PA14_00080,103.07190249073703,157.33758569593385,-0.6102122369585649,1.2274941477992223,cds-ABJ14963.1,PA14_00080,conserved hypothetical protein
gene-PA14_00090,383.16992413418257,370.6992889942071,0.04773497688825433,0.16870047592767057,cds-ABJ14964.1,glyS,glycyl-tRNA synthetase beta chain
gene-PA14_00100,171.02786151234463,151.99714148741066,0.17018717449219964,0.5081636900533475,cds-ABJ14965.1,glyQ,glycyl-tRNA synthetase alpha chain
gene-PA14_00110,44.5457955885902,38.935004668207405,0.19422146379582725,1.2084086278731114,cds-ABJ14966.1,tag,DNA-3-methyladenine glycosidase I
gene-PA14_00120,206.8472938419736,169.24097396187324,0.2894871871410273,0.7305948316709997,cds-ABJ14967.1,PA14_00120,putative 2-OH-lauroyltransferase
gene-PA14_00130,26.812775324523525,37.12283532442015,-0.4693863213924673,1.1819112387697113,cds-ABJ14968.1,PA14_00130,hypothetical protein
gene-PA14_00140,12.12519589513735,11.486616551277587,0.07805413824387761,0.4915457106240964,cds-ABJ14969.1,PA14_00140,putative membrane protein
gene-PA14_00150,3.3074358923759797,3.199152752595914,0.048023288956861754,0.12912513508911314,cds-ABJ14970.1,PA14_00150,hypothetical protein
gene-PA14_00160,47.8125786667779,42.23980866976606,0.1787869099019835,0.5883077826820144,cds-ABJ14971.1,PA14_00160,putative tetratricopeptide repeat domain
gene-PA14_00170,104.96672600939176,107.92484951052522,-0.04009500811492239,0.11531571497404536,cds-ABJ14972.1,trkA,potassium uptake protein TrkA
gene-PA14_00180,92.34349502100639,91.40921466810364,0.014670730297439177,0.031705315663518016,cds-ABJ14973.1,sun,putative tRNA and rRNA cytosine-C5-methylases
gene-PA14_00190,83.70927534209814,84.79962992782694,-0.018670480049002982,0.04155066965871795,cds-ABJ14974.1,fmt,methionyl-tRNA formyltransferase
gene-PA14_00200,76.89057343179759,96.0415918737549,-0.32085257130136025,1.7779622049352068,cds-ABJ14975.1,def,polypeptide deformylase
gene-PA14_00210,205.88992548929556,184.4924784823272,0.15831123636706262,1.0103798816606373,cds-ABJ14976.1,PA14_00210,putative lysin domain
gene-PA14_00230,3.7835087298324375,5.631597103942453,-0.5738191420128055,1.821512670369482,cds-ABJ14977.1,smf,putative Rossmann fold nucleotide-binding protein
gene-PA14_00240,69.4954740128444,66.7058074948177,0.05910665218117356,0.4671410576293752,cds-ABJ14978.1,PA14_00240,putative translation factor
gene-PA14_00250,116.28549850793219,110.39597669365104,0.07498359925530974,0.28753388295575016,cds-ABJ14979.1,qor,quinone oxidoreductase
gene-PA14_00280,138.8025015369226,167.60306167428237,-0.2720149318116045,0.4482361690335142,cds-ABJ14980.1,hemF,coproporphyrinogen III oxidase%2C aerobic
gene-PA14_00290,62.4620889722687,89.43378623957999,-0.5178391237796454,1.0537020048089192,cds-ABJ14981.1,aroE,shikimate dehydrogenase
gene-PA14_00300,455.6911926925249,542.4627383605176,-0.25146755438503055,0.4987835312332441,cds-ABJ14982.1,plcB,phospholipase C%2C PlcB
gene-PA14_00310,284.01680173556025,343.5815491163912,-0.27467628349316703,0.6458260917824228,cds-ABJ14983.1,PA14_00310,putative peptidyl-prolyl isomerase
gene-PA14_00320,87.5439011272655,95.54339800440171,-0.1261495102063702,0.32500275345008905,cds-ABJ14984.1,PA14_00320,conserved hypothetical protein
gene-PA14_00340,5.196960012045989,5.895824537605066,-0.182025576778496,1.572775376705577,cds-ABJ14985.1,PA14_00340,putative sulfate permease
gene-PA14_00360,5.69491041286249,5.294161351315261,0.10527095018229997,0.3724801199346872,cds-ABJ14986.1,PA14_00360,putative glycine betaine/L-proline ABC transporter%2C periplasmic substrate-binding protein
gene-PA14_00380,12.917049860391304,10.493336829143097,0.29980304519547013,1.0778643912734271,cds-ABJ14987.1,betC,choline sulfatase
gene-PA14_00400,27.314160605911145,23.91907913065499,0.19148722787098102,1.1488387806238076,cds-ABJ14988.1,PA14_00400,putative transcriptional regulator%2C LysR family
gene-PA14_00410,36.940014314495905,41.450449829708425,-0.1662033258101121,1.4274463297379043,cds-ABJ14989.1,PA14_00410,putative dioxygenase
gene-PA14_00420,3.165967645944988,2.7658756245010774,0.19491011937778102,0.8211895235815148,cds-ABJ14990.1,PA14_00420,putative histidine phosphotransfer domain
gene-PA14_00430,5.322223541254233,3.7409565919199514,0.5086216904534353,1.7176954229092634,cds-ABJ14991.1,bvga,putative two-component response regulator
gene-PA14_00440,52.10208720456044,46.29103413943696,0.17060836937052448,0.6591309621886773,cds-ABJ14992.1,trpA,tryptophan synthase alpha chain
gene-PA14_00450,65.70993023660478,54.65585068893153,0.26573546417649063,1.4079711664442363,cds-ABJ14993.1,trpB,tryptophan synthase beta chain
gene-PA14_00460,15.098919886707582,12.338748682587015,0.2912492203581892,0.51406339309642,cds-ABJ14994.1,trpI,trpBA operon transcriptional activator
gene-PA14_00470,181.66829446394274,140.04190616098478,0.37544804817915395,0.551280978198477,cds-ABJ14995.1,PA14_00470,conserved hypothetical protein
gene-PA14_00480,483.165743680111,347.26770499418336,0.47646991963700963,0.7557605341937098,cds-ABJ14996.1,PA14_00480,conserved hypothetical protein
gene-PA14_00490,45.29749243767103,39.22600908123147,0.20762061936727894,0.5958470319987632,cds-ABJ14997.1,PA14_00490,putative hemolysin activation/secretion protein
gene-PA14_00510,72.26144847432386,72.60357132087283,-0.00681434125485128,0.014406564624532518,cds-ABJ14998.1,PA14_00510,putative hemagglutinin
gene-PA14_00520,3.681647519838558,4.291144685017606,-0.22101094276417918,0.47716618053334,cds-ABJ14999.1,PA14_00520,conserved hypothetical protein
gene-PA14_00530,21.6905695506782,15.729556696878484,0.46358988167789966,0.945758178286292,cds-ABJ15000.1,PA14_00530,hypothetical protein
gene-PA14_00550,60.1347370711912,57.96761943057422,0.0529513694506927,0.3146966960195011,cds-ABJ15001.1,PA14_00550,putative membrane protein
gene-PA14_00560,23.716078824207628,25.46942958549518,-0.10290114545933934,1.0257366847797644,cds-ABJ15002.1,exoT,exoenzyme T
gene-PA14_00570,65.95393166283772,52.95452442748308,0.316704702254058,0.6512450434388743,cds-ABJ15003.1,PA14_00570,putative lipoprotein
gene-PA14_00580,42.306775381867375,32.60537278737384,0.3757789963094595,0.5924155049619094,cds-ABJ15004.1,PA14_00580,putative lipoprotein
gene-PA14_00590,25.20360901842645,24.91995255630191,0.016329011742673965,0.020451425855466412,cds-ABJ15005.1,PA14_00590,putative lipoprotein
gene-PA14_00600,12.378856123589307,13.312201656559127,-0.10487117193725905,0.15582471755681793,cds-ABJ15006.1,PA14_00600,putative transcriptional regulator
gene-PA14_00620,174.56973025216362,193.57908321718432,-0.14911964963834712,0.17887113486312164,cds-ABJ15007.1,PA14_00620,conserved hypothetical protein
gene-PA14_00630,354.016987813955,320.09013594664845,0.14534037145377848,0.30073237102243805,cds-ABJ15008.1,PA14_00630,hypothetical protein
gene-PA14_00640,452.39466140905125,513.9996369022277,-0.18418543507789384,0.23378800463157373,cds-ABJ15009.1,phzH,potential phenazine-modifying enzyme
gene-PA14_00650,44.310747528226614,73.04214457465154,-0.7210724377895785,0.9691129676144238,cds-ABJ15010.1,PA14_00650,conserved hypothetical protein
gene-PA14_00660,51.0751266165087,41.86165949953673,0.28699136036737555,1.5456922106546167,cds-ABJ15011.1,PA14_00660,putative RNA 2'-phosphotransferase
gene-PA14_00670,118.75750995642409,119.3167606858064,-0.006777966594071423,0.02012406935147854,cds-ABJ15012.1,PA14_00670,conserved hypothetical protein
gene-PA14_00680,9.908118107426082,10.014207792077158,-0.015365322693147753,0.029767090744114676,cds-ABJ15013.1,PA14_00680,putative transcriptional regulator%2C LysR family
gene-PA14_00690,43.63858578228332,35.21940159100186,0.3092339384081416,2.3538032637546884,cds-ABJ15014.1,PA14_00690,putative metallo-beta-lactamase
gene-PA14_00700,15.068540091884282,14.23271441761817,0.08232880526921539,0.182057206621864,cds-ABJ15015.1,PA14_00700,putative protein-disulfide isomerase
gene-PA14_00710,120.74664769763473,79.73605159268274,0.5986790535196764,0.8772756511884728,cds-ABJ15016.1,osmC,osmotically inducible protein OsmC
gene-PA14_00720,86.03870834518399,67.36810312033127,0.352920180729213,0.4910171694763121,cds-ABJ15017.1,PA14_00720,conserved hypothetical protein
