,dimA_dark_mean_rpm,wt_dark_mean_rpm,log2_FC,-log10_pval,protein_ID,common_name,product
gene-PA14_00010,306.5115364921819,287.4855388696172,0.09245198756047555,1.8362675814713343,cds-ABJ14957.1,dnaA,chromosomal replication initiator protein DnaA
gene-PA14_00020,521.2173067322573,538.438095711561,-0.046895498811470024,0.31612763163140056,cds-ABJ14958.1,dnaN,DNA polymerase III%2C beta chain
gene-PA14_00030,272.28558509130653,246.5709749326427,0.14311762389661806,0.3924030089107068,cds-ABJ14959.1,recF,DNA replication and repair protein RecF
gene-PA14_00050,1345.4894293488267,1329.065263226006,0.017719107350971774,0.3352130724090191,cds-ABJ14960.1,gyrB,DNA gyrase subunit B
gene-PA14_00060,51.791825161771136,55.490213294052545,-0.09950894614746901,0.9320866059041781,cds-ABJ14961.1,PA14_00060,putative acyltransferase
gene-PA14_00070,25.356522473420767,23.982006688117703,0.08040451606008638,1.1108716090262893,cds-ABJ14962.1,PA14_00070,putative histidinol-phosphatase
gene-PA14_00080,157.33758569593385,116.48884246864797,0.433671570555832,0.8864895399650091,cds-ABJ14963.1,PA14_00080,conserved hypothetical protein
gene-PA14_00090,370.6992889942071,393.64021921216477,-0.08662828371105889,1.3579038803768553,cds-ABJ14964.1,glyS,glycyl-tRNA synthetase beta chain
gene-PA14_00100,151.99714148741066,171.70341337159095,-0.17587452644583138,3.194761474970911,cds-ABJ14965.1,glyQ,glycyl-tRNA synthetase alpha chain
gene-PA14_00110,38.935004668207405,40.4720854013578,-0.05585938787556128,0.3657845738948255,cds-ABJ14966.1,tag,DNA-3-methyladenine glycosidase I
gene-PA14_00120,169.24097396187324,162.8802465969201,0.055267242301067256,0.12643633982790323,cds-ABJ14967.1,PA14_00120,putative 2-OH-lauroyltransferase
gene-PA14_00130,37.12283532442015,34.98768991437958,0.08545948794086718,0.24279151645071811,cds-ABJ14968.1,PA14_00130,hypothetical protein
gene-PA14_00140,11.486616551277587,11.691599938823316,-0.025518460524560423,0.12846033816636354,cds-ABJ14969.1,PA14_00140,putative membrane protein
gene-PA14_00150,3.199152752595914,3.321635200292954,-0.05420374114313,0.14825869821882462,cds-ABJ14970.1,PA14_00150,hypothetical protein
gene-PA14_00160,42.23980866976606,39.42735656990917,0.09940631004209306,0.3854229319161663,cds-ABJ14971.1,PA14_00160,putative tetratricopeptide repeat domain
gene-PA14_00170,107.92484951052522,114.51637081148318,-0.08552677319966721,0.6878273683885088,cds-ABJ14972.1,trkA,potassium uptake protein TrkA
gene-PA14_00180,91.40921466810364,95.8639348666839,-0.06864855178273897,0.4858212333925266,cds-ABJ14973.1,sun,putative tRNA and rRNA cytosine-C5-methylases
gene-PA14_00190,84.79962992782694,87.93140767495,-0.052320595348638296,0.1915676030395031,cds-ABJ14974.1,fmt,methionyl-tRNA formyltransferase
gene-PA14_00200,96.0415918737549,93.28295252624109,0.042045863327681135,0.13708206619003035,cds-ABJ14975.1,def,polypeptide deformylase
gene-PA14_00210,184.4924784823272,200.62210813103127,-0.12091859532323572,0.8528419648531192,cds-ABJ14976.1,PA14_00210,putative lysin domain
gene-PA14_00230,5.631597103942453,4.397772882202277,0.35677095213243826,1.707664190071436,cds-ABJ14977.1,smf,putative Rossmann fold nucleotide-binding protein
gene-PA14_00240,66.7058074948177,72.14927198194972,-0.11317246592274802,1.0844249266901616,cds-ABJ14978.1,PA14_00240,putative translation factor
gene-PA14_00250,110.39597669365104,122.45329817944894,-0.14954403590763388,0.7224746030322892,cds-ABJ14979.1,qor,quinone oxidoreductase
gene-PA14_00280,167.60306167428237,181.04489627602015,-0.11129900304273144,0.17236170150103305,cds-ABJ14980.1,hemF,coproporphyrinogen III oxidase%2C aerobic
gene-PA14_00290,89.43378623957999,78.21288438297903,0.19341366330744045,0.3455991597948472,cds-ABJ14981.1,aroE,shikimate dehydrogenase
gene-PA14_00300,542.4627383605176,584.3286883923056,-0.1072560792841082,0.19469249944137448,cds-ABJ14982.1,plcB,phospholipase C%2C PlcB
gene-PA14_00310,343.5815491163912,298.9046387577253,0.2009672762258271,0.48275888394169497,cds-ABJ14983.1,PA14_00310,putative peptidyl-prolyl isomerase
gene-PA14_00320,95.54339800440171,85.32436430774395,0.16319842455206374,0.4273330569233378,cds-ABJ14984.1,PA14_00320,conserved hypothetical protein
gene-PA14_00340,5.895824537605066,5.811091169940401,0.020884497011126924,0.031014460708561856,cds-ABJ14985.1,PA14_00340,putative sulfate permease
gene-PA14_00360,5.294161351315261,7.937690738379335,-0.5843170981981639,1.6192229266195601,cds-ABJ14986.1,PA14_00360,putative glycine betaine/L-proline ABC transporter%2C periplasmic substrate-binding protein
gene-PA14_00380,10.493336829143097,17.61701582831002,-0.7474959880638009,1.752215614727417,cds-ABJ14987.1,betC,choline sulfatase
