# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "transcript" "-F" "GTF" "-O" "-p" "-T" "6" "-a" "genomic.gtf" "-s" "2" "-o" "dimA_2_light_T1.featureCounts.txt" "dimA_2_light_T1.bam" 
Geneid	Chr	Start	End	Strand	Length	dimA_2_light_T1.bam
gene-PA14_00010	CP000438.1	483	2027	+	1545	5886
gene-PA14_00020	CP000438.1	2056	3159	+	1104	10993
gene-PA14_00030	CP000438.1	3169	4278	+	1110	6129
gene-PA14_00050	CP000438.1	4275	6695	+	2421	26817
gene-PA14_00060	CP000438.1	7018	7791	-	774	1437
gene-PA14_00070	CP000438.1	7803	8339	-	537	776
gene-PA14_00080	CP000438.1	8671	10377	+	1707	2480
gene-PA14_00090	CP000438.1	10434	12488	-	2055	7141
gene-PA14_00100	CP000438.1	12488	13435	-	948	3475
gene-PA14_00110	CP000438.1	13540	14091	+	552	920
gene-PA14_00120	CP000438.1	14236	15123	+	888	4303
gene-PA14_00130	CP000438.1	15208	15474	+	267	670
gene-PA14_00140	CP000438.1	15621	16274	+	654	254
gene-PA14_00150	CP000438.1	16336	16608	-	273	77
gene-PA14_00160	CP000438.1	16923	17240	-	318	1148
gene-PA14_00170	CP000438.1	17389	18762	-	1374	2041
gene-PA14_00180	CP000438.1	18789	20093	-	1305	1871
gene-PA14_00190	CP000438.1	20090	21034	-	945	1585
gene-PA14_00200	CP000438.1	21088	21594	-	507	1532
gene-PA14_00210	CP000438.1	21733	22758	+	1026	3848
gene-PA14_00230	CP000438.1	22893	23981	+	1089	90
gene-PA14_00240	CP000438.1	24022	24579	+	558	1336
gene-PA14_00250	CP000438.1	24589	25566	-	978	2278
gene-PA14_00280	CP000438.1	25757	26674	+	918	2701
gene-PA14_00290	CP000438.1	26732	27556	+	825	1359
gene-PA14_00300	CP000438.1	27667	28653	+	987	10336
gene-PA14_00310	CP000438.1	28634	29920	+	1287	7410
gene-PA14_00320	CP000438.1	29917	30519	+	603	2179
gene-PA14_00340	CP000438.1	30523	32076	-	1554	106
gene-PA14_00360	CP000438.1	32081	33004	-	924	113
gene-PA14_00380	CP000438.1	33021	34532	-	1512	223
gene-PA14_00400	CP000438.1	34645	35559	+	915	560
gene-PA14_00410	CP000438.1	35570	35947	+	378	838
gene-PA14_00420	CP000438.1	35926	36291	-	366	86
gene-PA14_00430	CP000438.1	36299	36922	-	624	134
gene-PA14_00440	CP000438.1	37108	37914	-	807	1298
gene-PA14_00450	CP000438.1	37911	39119	-	1209	1526
gene-PA14_00460	CP000438.1	39223	40110	+	888	280
gene-PA14_00470	CP000438.1	40211	40426	+	216	5305
gene-PA14_00480	CP000438.1	40610	40837	+	228	12134
gene-PA14_00490	CP000438.1	41133	42821	+	1689	983
gene-PA14_00510	CP000438.1	42934	53265	+	10332	1271
gene-PA14_00520	CP000438.1	54577	54699	+	123	138
gene-PA14_00530	CP000438.1	54909	55304	+	396	459
gene-PA14_00550	CP000438.1	55575	56984	-	1410	1230
gene-PA14_00560	CP000438.1	57148	58476	+	1329	456
gene-PA14_00570	CP000438.1	59018	59704	+	687	1043
gene-PA14_00580	CP000438.1	59735	60088	+	354	755
gene-PA14_00590	CP000438.1	60241	60750	+	510	423
gene-PA14_00600	CP000438.1	60765	61148	-	384	303
gene-PA14_00620	CP000438.1	61430	63091	-	1662	3060
gene-PA14_00630	CP000438.1	63701	63841	+	141	8465
gene-PA14_00640	CP000438.1	64665	66497	+	1833	10006
gene-PA14_00650	CP000438.1	66550	66978	-	429	1152
gene-PA14_00660	CP000438.1	67187	67735	-	549	1436
gene-PA14_00670	CP000438.1	67774	68280	-	507	2788
gene-PA14_00680	CP000438.1	68346	69266	-	921	199
gene-PA14_00690	CP000438.1	69374	70261	+	888	912
gene-PA14_00700	CP000438.1	70324	71028	+	705	391
gene-PA14_00710	CP000438.1	71112	71567	+	456	3384
gene-PA14_00720	CP000438.1	71678	71911	+	234	2637
gene-PA14_00730	CP000438.1	71923	72360	-	438	492
gene-PA14_00740	CP000438.1	72417	72833	-	417	258
gene-PA14_00750	CP000438.1	72925	74052	+	1128	877
gene-PA14_00760	CP000438.1	74060	75043	-	984	1053
gene-PA14_00770	CP000438.1	75076	75741	-	666	592
gene-PA14_00780	CP000438.1	75734	76276	-	543	802
gene-PA14_00790	CP000438.1	76354	78399	+	2046	9479
gene-PA14_00800	CP000438.1	78396	78671	+	276	2209
gene-PA14_00810	CP000438.1	78760	79818	+	1059	582
gene-PA14_00820	CP000438.1	80049	80963	-	915	2719
gene-PA14_00830	CP000438.1	81025	82737	-	1713	1160
gene-PA14_00850	CP000438.1	82730	83929	-	1200	156
gene-PA14_00860	CP000438.1	83929	84648	-	720	137
gene-PA14_00875	CP000438.1	84645	87743	-	3099	817
gene-PA14_00890	CP000438.1	87751	88479	-	729	217
gene-PA14_00900	CP000438.1	88489	89169	-	681	271
gene-PA14_00910	CP000438.1	89166	92474	-	3309	883
gene-PA14_00925	CP000438.1	92696	94045	-	1350	456
gene-PA14_00940	CP000438.1	94052	95386	-	1335	519
gene-PA14_00960	CP000438.1	95402	95866	-	465	228
gene-PA14_00970	CP000438.1	95911	96453	-	543	330
gene-PA14_00980	CP000438.1	96450	97409	-	960	1002
gene-PA14_00990	CP000438.1	97777	98811	+	1035	494
gene-PA14_01010	CP000438.1	98900	99418	+	519	1425
gene-PA14_01020	CP000438.1	99431	100927	+	1497	2334
gene-PA14_01030	CP000438.1	101003	101491	+	489	1364
gene-PA14_01040	CP000438.1	101659	102504	+	846	302
gene-PA14_01060	CP000438.1	102506	103015	+	510	113
gene-PA14_01070	CP000438.1	103012	104871	+	1860	392
gene-PA14_01080	CP000438.1	104835	105881	+	1047	194
gene-PA14_01100	CP000438.1	105874	108582	+	2709	1275
gene-PA14_01110	CP000438.1	108629	110560	+	1932	663
gene-PA14_01120	CP000438.1	110675	110959	-	285	316
gene-PA14_01130	CP000438.1	110972	111205	-	234	411
gene-PA14_01140	CP000438.1	111195	112514	-	1320	403
gene-PA14_01150	CP000438.1	112593	113027	-	435	287
gene-PA14_01160	CP000438.1	113281	115506	+	2226	1580
gene-PA14_01170	CP000438.1	115534	115983	+	450	208
gene-PA14_01180	CP000438.1	115913	117112	+	1200	420
gene-PA14_01190	CP000438.1	117109	118146	+	1038	228
gene-PA14_01200	CP000438.1	118146	119237	+	1092	453
gene-PA14_01220	CP000438.1	119248	120168	+	921	775
gene-PA14_01230	CP000438.1	120178	121410	+	1233	411
gene-PA14_01240	CP000438.1	121786	122514	+	729	2169
gene-PA14_01250	CP000438.1	122725	124296	+	1572	931
gene-PA14_01270	CP000438.1	124433	125029	+	597	189
gene-PA14_01290	CP000438.1	125293	126417	+	1125	565
gene-PA14_01300	CP000438.1	126427	128019	+	1593	200
gene-PA14_01310	CP000438.1	128030	128584	+	555	93
gene-PA14_01320	CP000438.1	128595	129482	+	888	146
gene-PA14_01330	CP000438.1	129498	129707	-	210	1550
gene-PA14_01340	CP000438.1	129723	130517	+	795	102
gene-PA14_01350	CP000438.1	130492	131070	+	579	66
gene-PA14_01360	CP000438.1	131135	132208	+	1074	59
gene-PA14_01380	CP000438.1	132234	133148	+	915	298
gene-PA14_01390	CP000438.1	133174	133809	+	636	4976
gene-PA14_01400	CP000438.1	133849	134301	-	453	698
gene-PA14_01410	CP000438.1	134433	134906	+	474	1229
gene-PA14_01430	CP000438.1	135162	135890	+	729	158
gene-PA14_01440	CP000438.1	135915	136502	+	588	278
gene-PA14_01460	CP000438.1	136732	138081	+	1350	346
