,Type,Strain ID,Species,Strain,Assembly level,Host taxonomic name,Host common name,Host taxonomy ID,Host Disease,Isolation Source,Assembly name,Assembly version status,Scaffold N50,Contig count,Contig N50
GCF_001721765.1,clinical,3999,Pseudomonas aeruginosa,PA_D2,Complete Genome,Homo sapiens,human,9606.0,Ventilator associated pneumonia,Sputum; Early isolate from VAP patient 2,ASM172176v1,latest,,,
GCF_001721825.1,clinical,4002,Pseudomonas aeruginosa,PA_D22,Complete Genome,Homo sapiens,human,9606.0,Ventilator associated pneumonia,Sputum; Late isolate from VAP patient 3,ASM172182v1,latest,,,
GCF_002205355.1,clinical,6938,Pseudomonas aeruginosa,Pa127,Complete Genome,Homo sapiens,human,9606.0,ventilator-associated pneumonia,bronchial washing,ASM220535v1,latest,,,
GCF_003369755.1,clinical,7124,Pseudomonas aeruginosa,Y82,Complete Genome,Homo sapiens,human,9606.0,pneumonia,sputum,ASM336975v1,latest,,,
GCF_004355145.1,clinical,10830,Pseudomonas aeruginosa,AES1R,Complete Genome,Homo sapiens,human,9606.0,cystic fibrosis,sputum,ASM435514v1,latest,6373893.0,,6373893.0
GCF_001679685.1,clinical,3995,Pseudomonas aeruginosa,PA121617,Complete Genome,Homo sapiens,human,9606.0,Respiratory disease,sputum,ASM167968v1,latest,,,
GCF_000816985.1,clinical,3096,Pseudomonas aeruginosa,F22031,Complete Genome,Homo sapiens,human,9606.0,cancer,pubic bone,ASM81698v1,latest,,,
GCF_002205335.1,clinical,6035,Pseudomonas aeruginosa,Pa84,Complete Genome,Homo sapiens,human,9606.0,ventilator-associated pneumonia,bronchial washing,ASM220533v1,latest,,,
GCF_002946935.1,clinical,6730,Pseudomonas aeruginosa,F5677,Complete Genome,Homo sapiens,human,9606.0,cancer,urine,ASM294693v1,latest,,,
GCF_002205375.1,clinical,6732,Pseudomonas aeruginosa,Pa1242,Complete Genome,Homo sapiens,human,9606.0,Chiari malformation,blood,ASM220537v1,latest,,,
GCF_003369775.1,clinical,6550,Pseudomonas aeruginosa,Y31,Complete Genome,Homo sapiens,human,9606.0,pneumonia,sputum,ASM336977v1,latest,,,
GCF_002192495.1,clinical,6334,Pseudomonas aeruginosa,Pa58,Complete Genome,Homo sapiens,human,9606.0,ventilator-associated pneumonia,bronchial washing,ASM219249v1,latest,,,
GCF_002192475.1,clinical,6251,Pseudomonas aeruginosa,Pa124,Complete Genome,Homo sapiens,human,9606.0,ventilator-associated pneumonia,bronchial washing,ASM219247v1,latest,,,
GCF_002085605.1,clinical,6088,Pseudomonas aeruginosa,RIVM-EMC2982,Complete Genome,Homo sapiens,human,9606.0,unavailable,unavailable,ASM208560v1,latest,,,
GCF_001447845.1,clinical,3846,Pseudomonas aeruginosa,VA-134,Complete Genome,Homo sapiens,human,9606.0,burn,Skin wound of burn human patient,ASM144784v1,latest,,,
GCF_001722025.1,clinical,4005,Pseudomonas aeruginosa,PA_D5,Complete Genome,Homo sapiens,human,9606.0,Ventilator associated pneumonia,Sputum; Early isolate from VAP patient 3,ASM172202v1,latest,,,
GCF_002104595.1,clinical,7104,Pseudomonas aeruginosa,PASGNDM699,Complete Genome,Homo sapiens,human,9606.0,N.A.,sputum,ASM210459v1,latest,,,
GCF_001721785.1,clinical,4000,Pseudomonas aeruginosa,PA_D9,Complete Genome,Homo sapiens,human,9606.0,Ventilator associated pneumonia,Sputum; Late isolate from VAP patient 1,ASM172178v1,latest,,,
