# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "./references/genomic.gtf" "./results/bowtie2/wt_1_dark_T1.bam" "--minOverlap" "30" "-s" "2" "-p" "-t" "gene" "-o" "./results/featureCounts_30/wt_1_dark_T1.txt" 
Geneid	Chr	Start	End	Strand	Length	./results/bowtie2/wt_1_dark_T1.bam
PA14_00010	CP000438.1	483	2027	+	1545	10117
PA14_00020	CP000438.1	2056	3159	+	1104	17693
PA14_00030	CP000438.1	3169	4278	+	1110	9669
PA14_00050	CP000438.1	4275	6695	+	2421	47363
PA14_00060	CP000438.1	7018	7791	-	774	1916
PA14_00070	CP000438.1	7803	8339	-	537	830
PA14_00080	CP000438.1	8671	10377	+	1707	3665
PA14_00090	CP000438.1	10434	12488	-	2055	13807
PA14_00100	CP000438.1	12488	13435	-	948	6027
PA14_00110	CP000438.1	13540	14091	+	552	1432
PA14_00120	CP000438.1	14236	15123	+	888	6228
PA14_00130	CP000438.1	15208	15474	+	267	1118
PA14_00140	CP000438.1	15621	16274	+	654	392
PA14_00150	CP000438.1	16336	16608	-	273	118
PA14_00160	CP000438.1	16923	17240	-	318	1534
PA14_00170	CP000438.1	17389	18762	-	1374	3912
PA14_00180	CP000438.1	18789	20093	-	1305	3341
PA14_00190	CP000438.1	20090	21034	-	945	3132
PA14_00200	CP000438.1	21088	21594	-	507	3588
PA14_00210	CP000438.1	21733	22758	+	1026	6987
PA14_00230	CP000438.1	22893	23981	+	1089	163
PA14_00240	CP000438.1	24022	24579	+	558	2584
PA14_00250	CP000438.1	24589	25566	-	978	4001
PA14_00280	CP000438.1	25757	26674	+	918	6824
PA14_00290	CP000438.1	26732	27556	+	825	3131
PA14_00300	CP000438.1	27667	28653	+	987	17206
PA14_00310	CP000438.1	28634	29920	+	1287	9538
PA14_00320	CP000438.1	29917	30519	+	603	2821
PA14_00340	CP000438.1	30523	32076	-	1554	263
PA14_00360	CP000438.1	32081	33004	-	924	265
PA14_00380	CP000438.1	33021	34532	-	1512	650
PA14_00400	CP000438.1	34645	35559	+	915	1034
PA14_00410	CP000438.1	35570	35947	+	378	1385
PA14_00420	CP000438.1	35926	36291	-	366	107
PA14_00430	CP000438.1	36299	36922	-	624	180
PA14_00440	CP000438.1	37108	37914	-	807	1962
PA14_00450	CP000438.1	37911	39119	-	1209	2250
PA14_00460	CP000438.1	39223	40110	+	888	455
PA14_00470	CP000438.1	40211	40426	+	216	6117
PA14_00480	CP000438.1	40610	40837	+	228	13165
PA14_00490	CP000438.1	41133	42821	+	1689	1594
PA14_00510	CP000438.1	42934	53265	+	10332	2825
PA14_00520	CP000438.1	54577	54699	+	123	125
PA14_00530	CP000438.1	54909	55304	+	396	596
PA14_00550	CP000438.1	55575	56984	-	1410	2044
PA14_00560	CP000438.1	57148	58476	+	1329	897
PA14_00570	CP000438.1	59018	59704	+	687	2246
PA14_00580	CP000438.1	59735	60088	+	354	1317
PA14_00590	CP000438.1	60241	60750	+	510	1154
PA14_00600	CP000438.1	60765	61148	-	384	291
PA14_00620	CP000438.1	61430	63091	-	1662	5609
PA14_00630	CP000438.1	63701	63841	+	141	13976
PA14_00640	CP000438.1	64665	66497	+	1833	13915
PA14_00650	CP000438.1	66550	66978	-	429	2241
PA14_00660	CP000438.1	67187	67735	-	549	1566
PA14_00670	CP000438.1	67774	68280	-	507	4142
PA14_00680	CP000438.1	68346	69266	-	921	376
PA14_00690	CP000438.1	69374	70261	+	888	1480
PA14_00700	CP000438.1	70324	71028	+	705	535
PA14_00710	CP000438.1	71112	71567	+	456	4254
PA14_00720	CP000438.1	71678	71911	+	234	3129
PA14_00730	CP000438.1	71923	72360	-	438	1020
PA14_00740	CP000438.1	72417	72833	-	417	599
PA14_00750	CP000438.1	72925	74052	+	1128	1812
PA14_00760	CP000438.1	74060	75043	-	984	1911
PA14_00770	CP000438.1	75076	75741	-	666	803
PA14_00780	CP000438.1	75734	76276	-	543	1193
PA14_00790	CP000438.1	76354	78399	+	2046	18576
PA14_00800	CP000438.1	78396	78671	+	276	2757
PA14_00810	CP000438.1	78760	79818	+	1059	700
PA14_00820	CP000438.1	80049	80963	-	915	7044
PA14_00830	CP000438.1	81025	82737	-	1713	2073
PA14_00850	CP000438.1	82730	83929	-	1200	382
PA14_00860	CP000438.1	83929	84648	-	720	284
PA14_00875	CP000438.1	84645	87743	-	3099	2188
PA14_00890	CP000438.1	87751	88479	-	729	423
PA14_00900	CP000438.1	88489	89169	-	681	613
PA14_00910	CP000438.1	89166	92474	-	3309	2366
PA14_00925	CP000438.1	92696	94045	-	1350	1198
PA14_00940	CP000438.1	94052	95386	-	1335	1269
PA14_00960	CP000438.1	95402	95866	-	465	432
PA14_00970	CP000438.1	95911	96453	-	543	522
PA14_00980	CP000438.1	96450	97409	-	960	2132
PA14_00990	CP000438.1	97777	98811	+	1035	801
PA14_01010	CP000438.1	98900	99418	+	519	2210
PA14_01020	CP000438.1	99431	100927	+	1497	5032
PA14_01030	CP000438.1	101003	101491	+	489	3029
PA14_01040	CP000438.1	101659	102504	+	846	949
PA14_01060	CP000438.1	102506	103015	+	510	270
PA14_01070	CP000438.1	103012	104871	+	1860	993
PA14_01080	CP000438.1	104835	105881	+	1047	426
PA14_01100	CP000438.1	105874	108582	+	2709	3558
PA14_01110	CP000438.1	108629	110560	+	1932	1553
PA14_01120	CP000438.1	110675	110959	-	285	402
PA14_01130	CP000438.1	110972	111205	-	234	781
PA14_01140	CP000438.1	111195	112514	-	1320	425
PA14_01150	CP000438.1	112593	113027	-	435	537
PA14_01160	CP000438.1	113281	115506	+	2226	3168
PA14_01170	CP000438.1	115534	115983	+	450	313
PA14_01180	CP000438.1	115913	117112	+	1200	688
PA14_01190	CP000438.1	117109	118146	+	1038	370
PA14_01200	CP000438.1	118146	119237	+	1092	744
PA14_01220	CP000438.1	119248	120168	+	921	1116
PA14_01230	CP000438.1	120178	121410	+	1233	833
PA14_01240	CP000438.1	121786	122514	+	729	4065
PA14_01250	CP000438.1	122725	124296	+	1572	1887
PA14_01270	CP000438.1	124433	125029	+	597	327
PA14_01290	CP000438.1	125293	126417	+	1125	1040
PA14_01300	CP000438.1	126427	128019	+	1593	320
PA14_01310	CP000438.1	128030	128584	+	555	115
PA14_01320	CP000438.1	128595	129482	+	888	192
PA14_01330	CP000438.1	129498	129707	-	210	3616
PA14_01340	CP000438.1	129723	130517	+	795	177
PA14_01350	CP000438.1	130492	131070	+	579	91
PA14_01360	CP000438.1	131135	132208	+	1074	57
PA14_01380	CP000438.1	132234	133148	+	915	186
PA14_01390	CP000438.1	133174	133809	+	636	8324
PA14_01400	CP000438.1	133849	134301	-	453	894
PA14_01410	CP000438.1	134433	134906	+	474	1533
PA14_01430	CP000438.1	135162	135890	+	729	217
PA14_01440	CP000438.1	135915	136502	+	588	463
PA14_01460	CP000438.1	136732	138081	+	1350	746
PA14_01470	CP000438.1	138130	138816	+	687	735
PA14_01480	CP000438.1	138917	139651	+	735	604
PA14_01490	CP000438.1	139831	140241	+	411	60046
PA14_01500	CP000438.1	140273	141181	-	909	900
PA14_01510	CP000438.1	141481	141762	-	282	263
PA14_01520	CP000438.1	141759	141986	-	228	213
PA14_01540	CP000438.1	142162	142785	-	624	2228
PA14_01550	CP000438.1	142886	143386	+	501	888
PA14_01560	CP000438.1	143458	143799	+	342	1229
PA14_01580	CP000438.1	143881	145308	-	1428	3692
PA14_01600	CP000438.1	145477	146970	-	1494	10546
PA14_01610	CP000438.1	147054	147341	-	288	959
PA14_01620	CP000438.1	147341	148687	-	1347	5754
PA14_01640	CP000438.1	148823	149740	+	918	642
PA14_01660	CP000438.1	149853	151223	-	1371	1329
PA14_01670	CP000438.1	152381	153952	+	1572	206
PA14_01680	CP000438.1	153952	155049	+	1098	45
PA14_01690	CP000438.1	155072	156052	+	981	143
PA14_01710	CP000438.1	156164	156727	+	564	93701
PA14_01720	CP000438.1	156872	158437	+	1566	6086
PA14_01730	CP000438.1	158517	159413	-	897	48373
PA14_01750	CP000438.1	159868	161217	+	1350	1557
PA14_01760	CP000438.1	161387	162376	+	990	20903
PA14_01770	CP000438.1	162413	163261	-	849	545
PA14_01780	CP000438.1	163296	163922	-	627	2318
PA14_01790	CP000438.1	164072	164590	-	519	1164
PA14_01800	CP000438.1	164828	165925	+	1098	106
PA14_01810	CP000438.1	165998	166960	+	963	957
PA14_01830	CP000438.1	167065	168015	+	951	2269
PA14_01840	CP000438.1	168212	168757	+	546	182
PA14_01860	CP000438.1	168754	169749	+	996	385
PA14_01870	CP000438.1	169897	172284	+	2388	310
PA14_01890	CP000438.1	172662	173489	+	828	615
PA14_01900	CP000438.1	173624	174343	+	720	425
PA14_01910	CP000438.1	174354	174959	+	606	376
PA14_01930	CP000438.1	175175	176014	+	840	1357
PA14_01940	CP000438.1	176167	177318	+	1152	4761
PA14_01960	CP000438.1	177315	178385	+	1071	3862
PA14_01970	CP000438.1	178382	181429	+	3048	13141
PA14_01980	CP000438.1	181628	182566	+	939	2542
PA14_01990	CP000438.1	182682	182867	+	186	617
PA14_02010	CP000438.1	183147	183299	+	153	364
PA14_02020	CP000438.1	183454	184788	+	1335	2459
PA14_02030	CP000438.1	184817	185614	-	798	923
PA14_02050	CP000438.1	185692	187308	+	1617	2086
PA14_02060	CP000438.1	187980	188816	+	837	229
PA14_02070	CP000438.1	189058	190464	+	1407	48
PA14_02090	CP000438.1	190557	191222	+	666	2751
PA14_02100	CP000438.1	191228	191818	+	591	2011
PA14_02110	CP000438.1	191825	192532	-	708	1486
PA14_02130	CP000438.1	192659	193039	-	381	629
PA14_02140	CP000438.1	193066	193608	-	543	610
PA14_02150	CP000438.1	193617	195608	-	1992	1305
PA14_02180	CP000438.1	195871	196920	-	1050	569
PA14_02190	CP000438.1	196940	197542	-	603	387
PA14_02200	CP000438.1	197548	198390	-	843	1863
PA14_02220	CP000438.1	198460	200499	-	2040	15388
PA14_02230	CP000438.1	200535	201020	-	486	1259
PA14_02250	CP000438.1	201007	202926	-	1920	6151
PA14_02260	CP000438.1	202954	203319	-	366	5043
PA14_02270	CP000438.1	203517	204689	-	1173	7151
PA14_02290	CP000438.1	204880	205815	-	936	742
PA14_02300	CP000438.1	205932	206684	+	753	332
PA14_02310	CP000438.1	206784	208394	-	1611	273
PA14_02330	CP000438.1	208482	209321	-	840	52
PA14_02340	CP000438.1	209318	210934	-	1617	192
PA14_02360	CP000438.1	211201	212262	+	1062	296
PA14_02370	CP000438.1	212285	213643	-	1359	46
PA14_02380	CP000438.1	213891	214616	+	726	211
PA14_02390	CP000438.1	214640	215557	-	918	222
PA14_02410	CP000438.1	215908	218280	+	2373	76
PA14_02420	CP000438.1	218321	219223	+	903	100
PA14_02435	CP000438.1	219291	220190	+	900	87
PA14_02450	CP000438.1	220837	221955	+	1119	2817
PA14_02460	CP000438.1	222031	222339	+	309	617
PA14_02470	CP000438.1	222339	223775	+	1437	2145
PA14_02490	CP000438.1	224119	224931	+	813	22
PA14_02500	CP000438.1	224960	225679	+	720	86
PA14_02510	CP000438.1	225681	226082	+	402	55
PA14_02520	CP000438.1	226263	226475	-	213	7174
PA14_02530	CP000438.1	226691	227272	+	582	3300
PA14_02550	CP000438.1	227383	229047	+	1665	1193
PA14_02560	CP000438.1	229047	229928	+	882	147
PA14_02570	CP000438.1	229930	230229	+	300	74
PA14_02580	CP000438.1	230222	231085	+	864	247
PA14_02590	CP000438.1	231082	231888	+	807	200
PA14_02610	CP000438.1	231904	232596	+	693	125
PA14_02620	CP000438.1	232593	233525	+	933	121
PA14_02630	CP000438.1	233582	233986	+	405	119
PA14_02640	CP000438.1	233992	234756	+	765	319
PA14_02650	CP000438.1	234841	235770	-	930	1302
PA14_02660	CP000438.1	236099	237019	-	921	1048
PA14_02680	CP000438.1	237370	238860	+	1491	84
PA14_02690	CP000438.1	238918	240351	+	1434	103
PA14_02700	CP000438.1	240382	241764	+	1383	219
PA14_02720	CP000438.1	241928	242986	+	1059	61
PA14_02730	CP000438.1	243064	243945	-	882	160
PA14_02740	CP000438.1	244005	244787	-	783	223
PA14_02750	CP000438.1	244942	245481	+	540	1055
PA14_02760	CP000438.1	245632	246483	+	852	1010
PA14_02770	CP000438.1	246480	247262	+	783	719
PA14_02790	CP000438.1	247259	248464	+	1206	1208
PA14_02810	CP000438.1	248614	249912	+	1299	1332
PA14_02830	CP000438.1	249935	251314	+	1380	1885
